,,,,,,,,,,,
"Length (cm)",,,1,2,3,4,"5+","Sum ","Biomass ","Mean ","Mean length"
,,,2004,2003,2002,2001,"2000-","(109 )","(103 t)","weight (g)","(cm)"
5.00,"-",5.50,,,,,,0.00,0.00,0.00,5.25
5.50,"-",6.00,,,,,,0.00,0.00,0.00,5.75
6.00,"-",6.50,,,,,,0.00,0.00,0.00,6.25
6.50,"-",7.00,0.80,,,,,0.80,0.80,1.00,6.75
7.00,"-",7.50,1.56,,,,,1.56,1.60,1.00,7.25
7.50,"-",8.00,2.15,,,,,2.15,3.50,1.60,7.75
8.00,"-",8.50,1.59,,,,,1.59,1.60,1.00,8.25
8.50,"-",9.00,1.69,,,,,1.69,2.00,1.20,8.75
9.00,"-",9.50,1.75,,,,,1.75,4.60,2.70,9.25
9.50,"-",10.00,2.46,0.00,,,,2.46,8.10,3.30,9.75
10.00,"-",10.50,4.03,0.01,,,,4.04,16.90,4.20,10.25
10.50,"-",11.00,4.54,0.07,,,,4.61,22.20,4.80,10.75
11.00,"-",11.50,3.17,0.00,,,,3.17,17.60,5.50,11.25
11.50,"-",12.00,2.56,0.33,,,,2.88,17.70,6.10,11.75
12.00,"-",12.50,0.45,0.41,,,,0.86,6.50,7.60,12.25
12.50,"-",13.00,0.09,1.29,0.01,,,1.38,12.00,8.70,12.75
13.00,"-",13.50,0.00,1.35,0.02,,,1.37,13.80,10.10,13.25
13.50,"-",14.00,0.09,1.71,0.04,,,1.83,21.10,11.50,13.75
14.00,"-",14.50,0.01,1.78,0.06,,,1.85,24.50,13.20,14.25
14.50,"-",15.00,0.02,1.84,0.10,0.00,,1.97,30.40,15.50,14.75
15.00,"-",15.50,,1.75,0.20,0.00,0.00,1.95,33.50,17.20,15.25
15.50,"-",16.00,,1.14,0.53,0.00,,1.67,32.20,19.30,15.75
16.00,"-",16.50,,0.76,0.33,0.01,,1.11,24.50,22.10,16.25
16.50,"-",17.00,,0.45,0.21,0.03,,0.69,16.80,24.30,16.75
17.00,"-",17.50,,0.10,0.15,0.00,,0.26,7.20,28.30,17.25
17.50,"-",18.00,,0.04,0.09,0.00,,0.13,3.70,28.60,17.75
18.00,"-",18.50,,0.00,0.03,0.01,,0.04,1.20,33.50,18.25
18.50,"-",19.00,,,,0.00,,0.00,0.00,34.30,18.75
19.00,"-",19.50,,,,0.00,,0.00,0.00,37.30,19.25
19.50,"-",20.00,,,,,,0.00,0.00,0.00,19.75
20.00,"-",20.50,,,,,,0.00,0.00,0.00,20.25
20.50,"-",21.00,,,,,,0.00,0.00,0.00,20.75
"TSN (109)",,,"26,938","13,025","1,762","0,068","0,001","41,794",,,
"TSB (103 t)",,,"99,6","185,9","36,8","1,7","0,0",,"324,1",,
"Mean length (cm)",,,"9,85","14,36","15,97","16,85","15,25","11,53",,,
"Mean weight (g)",,,"3,7","14,3","20,9","25,2","17,2",,,"7,8",
"SSN (109 )",,,"0,03","7,868","1,692","0,068","0,001","9,662",,,
"SSB (103 t)",,,"0,48","136,0","36,0","1,7","0,0",,"174,3",,
,,,,,,,,,,,
,,,,,,,,,,,
"Mean length imm.",,,"9,85","13,08","13,46","#DIV/0!",,,,,
"Mean weight imm",,,"3,68","9,68","10,68","#DIV/0!",,,,,
"Mean length mat",,,,"15,20","16,08","16,85","15,25","15,4",,,
"Mean weight mat",,,,"17,29","21,28","25,24","17,20","18,0",,,
