Beam-5.2,,,,,,,,,,,
Length (cm),,,1,2,3,4,5+,Sum ,Biomass ,Mean ,Mean length
,,,2011,2010,2009,2008,2007-,(109 ),(103 t),weight (g),(cm)
5.0,-,5.5,,,,,,,,,5.25
5.5,-,6.0,,,,,,,,,5.75
6.0,-,6.5,,,,,,,,,6.25
6.5,-,7.0,2.540,,,,,2.540,3.048,1.2,6.75
7.0,-,7.5,5.482,,,,,5.482,6.578,1.2,7.25
7.5,-,8.0,8.817,,,,,8.817,14.107,1.6,7.75
8.0,-,8.5,11.736,,,,,11.736,23.472,2.0,8.25
8.5,-,9.0,13.283,0.054,,,,13.337,33.343,2.5,8.75
9.0,-,9.5,17.982,0.000,,,,17.982,53.946,3.0,9.25
9.5,-,10.0,15.782,0.096,,,,15.878,52.397,3.3,9.75
10.0,-,10.5,21.092,0.951,,,,22.043,83.763,3.8,10.25
10.5,-,11.0,18.077,4.841,,,,22.918,103.131,4.5,10.75
11.0,-,11.5,14.363,10.298,,,,24.661,128.237,5.2,11.25
11.5,-,12.0,7.909,16.599,,,,24.508,149.499,6.1,11.75
12.0,-,12.5,6.977,28.824,0.160,,,35.961,251.727,7.0,12.25
12.5,-,13.0,1.283,24.929,0.755,,,26.967,210.343,7.8,12.75
13.0,-,13.5,0.303,24.508,3.017,,,27.828,244.886,8.8,13.25
13.5,-,14.0,0.042,17.968,4.423,,,22.433,228.817,10.2,13.75
14.0,-,14.5,0.071,10.954,6.780,,,17.805,204.758,11.5,14.25
14.5,-,15.0,0.079,6.359,9.968,,,16.406,221.481,13.5,14.75
15.0,-,15.5,0.075,3.457,10.149,0.011,,13.692,212.226,15.5,15.25
15.5,-,16.0,0.012,2.474,12.695,0.396,,15.577,277.271,17.8,15.75
16.0,-,16.5,0.002,2.208,13.234,0.224,,15.668,310.226,19.8,16.25
16.5,-,17.0,,0.979,10.101,0.086,,11.166,255.701,22.9,16.75
17.0,-,17.5,,0.759,7.440,0.742,,8.941,224.419,25.1,17.25
17.5,-,18.0,,0.099,4.968,0.458,,5.525,156.910,28.4,17.75
18.0,-,18.5,,,3.110,0.119,,3.229,102.036,31.6,18.25
18.5,-,19.0,,,0.707,0.234,,0.941,31.053,33.0,18.75
19.0,-,19.5,,,0.051,,,0.051,1.811,35.5,19.25
19.5,-,20.0,,,,,,0.000,0.000,31.8,19.75
20.0,-,20.5,,,0.013,,,0.013,0.533,41.0,20.25
20.5,-,21.0,,,,,,,,,
TSN (109),,,145.907,156.357,87.571,2.270,,392.105,,,
TSB (103 t),,,536.1,1373.3,1619.6,56.7,,,3585.7,,
Mean length (cm),,,9.82,12.95,15.79,17.17,,12.45,,,
Mean weight (g),,,3.67,8.78,18.49,24.99,,,,9.1,
SSN (109 ),,,0.239,27.289,79.216,2.270,,109.014,,,
SSB (103 t),,,3.3,397.4,1541.0,56.7,,,1998.4,,
,,,,,,,,,,,
,,,,,,,,,,,
Mean length imm.,,,9.82,12.53,13.45,#DIV/0!,#DIV/0!,11.2,,,
Mean weight imm,,,3.66,7.56,9.42,#DIV/0!,#DIV/0!,5.6,,,
Mean length mat,,,14.82,14.98,16.04,17.17,#DIV/0!,15.8,,,
Mean weight mat,,,13.80,14.56,19.45,24.99,#DIV/0!,18.3,,,
,,,,,,,,,,,
