,,,,,,,,,,,
"Length (cm)",,,1,2,3,4,"5+","Sum ","Biomass ","Mean ","Mean length"
,,,1999,1998,1997,1996,1995,"(109 )","(103 t)","weight (g)","(cm)"
5.00,"-",5.50,,,,,,,,,5.25
5.50,"-",6.00,,,,,,,,,5.75
6.00,"-",6.50,,,,,,,,,6.25
6.50,"-",7.00,2.20,,,,,2.20,2.20,1.00,6.75
7.00,"-",7.50,9.51,,,,,9.51,11.70,1.20,7.25
7.50,"-",8.00,16.25,,,,,16.25,24.20,1.50,7.75
8.00,"-",8.50,31.94,,,,,31.94,59.00,1.80,8.25
8.50,"-",9.00,56.84,,,,,56.84,128.90,2.30,8.75
9.00,"-",9.50,60.61,,,,,60.61,168.60,2.80,9.25
9.50,"-",10.00,58.58,,,,,58.58,192.10,3.30,9.75
10.00,"-",10.50,66.51,0.07,,,,66.59,273.30,4.10,10.25
10.50,"-",11.00,57.78,0.56,,,,58.34,274.70,4.70,10.75
11.00,"-",11.50,40.03,1.02,,,,41.05,225.90,5.50,11.25
11.50,"-",12.00,26.16,4.32,,,,30.48,193.50,6.30,11.75
12.00,"-",12.50,14.42,5.94,,,,20.36,150.30,7.40,12.25
12.50,"-",13.00,4.88,11.35,,,,16.23,142.60,8.80,12.75
13.00,"-",13.50,2.25,12.45,,,,14.70,152.20,10.40,13.25
13.50,"-",14.00,0.81,13.71,0.20,,,14.72,176.00,12.00,13.75
14.00,"-",14.50,0.24,14.86,0.12,,,15.21,208.30,13.70,14.25
14.50,"-",15.00,0.18,13.68,0.46,,,14.31,225.30,15.70,14.75
15.00,"-",15.50,,11.22,1.30,0.09,,12.62,228.70,18.10,15.25
15.50,"-",16.00,,8.96,3.15,,0.06,12.16,244.30,20.10,15.75
16.00,"-",16.50,,5.48,4.24,,,9.72,219.20,22.50,16.25
16.50,"-",17.00,,3.76,5.85,0.08,,9.69,246.90,25.50,16.75
17.00,"-",17.50,,2.14,5.62,,,7.76,212.10,27.30,17.25
17.50,"-",18.00,,0.83,5.42,,,6.24,198.30,31.80,17.75
18.00,"-",18.50,,0.22,4.40,0.11,,4.72,161.90,34.30,18.25
18.50,"-",19.00,,,2.56,,,2.56,101.20,39.50,18.75
19.00,"-",19.50,,,0.74,0.33,,1.07,41.20,38.50,19.25
19.50,"-",20.00,,,0.06,0.05,,0.11,4.70,44.10,19.75
20.00,"-",20.50,,,,0.12,,0.12,5.80,47.70,20.25
20.50,"-",21.00,,,,,,,,,20.75
"TSN (109)",,,"449,166","110,552","34,101","0,782","0,056","594,657",,,
"TSB (103 t)",,,"1707,2","1586,2","951,0","28,2","1,1",,"4273,8",,
"Mean length (cm)",,,"9,90","14,23","17,13","18,59","15,75","11,13",,,
"Mean weight (g)",,,"3,8","14,3","27,9","36,1","20,1",,,"7,2",
"SSN (109 )",,,"0,42","61,133","33,903","0,782","0,056","96,289",,,
"SSB (103 t)",,,"6,04","1112,6","948,7","28,2","1,1",,"2096,7",,
,,,,,,,,,,,
,,,,,,,,,,,
"Mean length imm.",,,"9,90","12,95","13,75",,,,,,
"Mean weight imm",,,"3,79","9,58","12,00",,,,,,
"Mean length mat",,,,"15,26","17,15","18,59","15,75","16,0",,,
"Mean weight mat",,,,"18,20","27,98","36,10","20,10","21,8",,,
