,,,,,,,,,,,
"Length (cm)",,,1,2,3,4,"5+","Sum ","Biomass ","Mean ","Mean length"
,,,2001,2000,1999,1998,1997,"(109 )","(103 t)","weight (g)","(cm)"
5.00,"-",5.50,,,,,,,,,5.25
5.50,"-",6.00,,,,,,,,,5.75
6.00,"-",6.50,,,,,,,,,6.25
6.50,"-",7.00,0.00,0.00,0.00,0.00,,0.00,0.00,1.00,6.75
7.00,"-",7.50,0.21,0.00,0.00,0.00,,0.21,0.30,1.60,7.25
7.50,"-",8.00,1.67,0.00,0.00,0.00,,1.67,2.60,1.60,7.75
8.00,"-",8.50,8.84,0.00,0.00,0.00,,8.84,18.10,2.00,8.25
8.50,"-",9.00,7.41,0.00,0.00,0.00,,7.41,18.80,2.50,8.75
9.00,"-",9.50,6.21,0.00,0.00,0.00,,6.21,19.60,3.20,9.25
9.50,"-",10.00,4.80,0.00,0.00,0.00,,4.80,16.70,3.50,9.75
10.00,"-",10.50,7.13,0.06,0.00,0.00,,7.19,30.50,4.20,10.25
10.50,"-",11.00,10.47,0.76,0.00,0.00,,11.23,53.50,4.80,10.75
11.00,"-",11.50,8.10,2.59,0.00,0.00,,10.70,58.40,5.50,11.25
11.50,"-",12.00,4.03,9.71,0.00,0.00,,13.74,87.50,6.40,11.75
12.00,"-",12.50,0.45,17.17,0.06,0.00,,17.68,138.00,7.80,12.25
12.50,"-",13.00,0.03,17.85,0.29,0.00,,18.17,162.50,8.90,12.75
13.00,"-",13.50,0.20,14.26,1.49,0.00,,15.95,158.00,9.90,13.25
13.50,"-",14.00,0.08,11.09,2.08,0.00,,13.24,154.40,11.70,13.75
14.00,"-",14.50,0.06,8.47,5.81,0.00,,14.35,190.00,13.20,14.25
14.50,"-",15.00,0.00,3.82,6.50,0.00,,10.33,155.30,15.00,14.75
15.00,"-",15.50,0.00,2.58,6.42,0.00,,9.00,155.20,17.20,15.25
15.50,"-",16.00,0.00,0.92,6.28,0.01,,7.21,142.80,19.80,15.75
16.00,"-",16.50,0.00,0.39,6.25,0.05,,6.69,152.60,22.80,16.25
16.50,"-",17.00,0.00,0.42,5.27,0.03,,5.73,146.30,25.50,16.75
17.00,"-",17.50,0.00,0.29,4.01,0.05,,4.35,122.80,28.30,17.25
17.50,"-",18.00,0.00,0.36,3.19,0.09,,3.64,115.70,31.80,17.75
18.00,"-",18.50,0.00,0.06,1.74,0.09,,1.88,67.50,35.80,18.25
18.50,"-",19.00,0.00,0.00,0.64,0.13,,0.78,29.80,38.30,18.75
19.00,"-",19.50,0.00,0.00,0.18,0.06,,0.24,10.30,43.00,19.25
19.50,"-",20.00,0.00,0.00,0.00,0.06,,0.06,2.60,43.00,19.75
20.00,"-",20.50,0.00,0.00,0.00,0.01,,0.01,0.40,51.10,20.25
20.50,"-",21.00,0.00,0.00,0.00,0.00,,0.00,0.10,55.80,20.75
"TSN (109)",,,"59,703","90,796","50,210","0,575","0,000","201,284",,,
"TSB (103 t)",,,"234,0","917,1","1037,5","20,1","0,0",,"2208,7",,
"Mean length (cm)",,,"9,90","13,09","15,76","18,21",,"12,82",,,
"Mean weight (g)",,,"3,9","10,1","20,7","35,0",,,,"11,0",
"SSN (109 )",,,"0,06","17,312","46,301","0,575",,"64,252",,,
"SSB (103 t)",,,"0,84","273,1","995,5","20,1",,,"1289,6",,
,,,,,,,,,,,
,,,,,,,,,,,
"Mean length imm.",,,"9,90","12,67","13,46",,,,,,
"Mean weight imm",,,"3,91","8,76","10,75",,,,,,
"Mean length mat",,,,"14,83","15,95","18,21",,"15,7",,,
"Mean weight mat",,,,"15,78","21,50","34,99",,"20,1",,,
