,,,"Age/Year class",,,,,,,,
"Length (cm)",,,1.00,2.00,3.00,4.00,"5+","Sum ","Biomass ","Mean ","Mean length"
,,,1973.00,1972.00,1971.00,1970.00,1969.00,"(109 )","(103 t)","weight (g)",
5.00,"-",5.50,,,,,,,,,5.25
5.50,"-",6.00,0.13,0.00,0.00,0.00,0.00,0.13,0.10,0.70,5.75
6.00,"-",6.50,0.35,0.00,0.00,0.00,0.00,0.35,0.30,0.80,6.25
6.50,"-",7.00,0.51,0.00,0.00,0.00,0.00,0.51,0.50,1.00,6.75
7.00,"-",7.50,2.28,0.11,0.00,0.00,0.00,2.39,2.90,1.20,7.25
7.50,"-",8.00,3.78,0.05,0.00,0.00,0.00,3.83,5.40,1.40,7.75
8.00,"-",8.50,10.63,0.98,0.06,0.00,0.00,11.67,22.40,1.90,8.25
8.50,"-",9.00,23.27,1.10,0.00,0.00,0.00,24.37,53.80,2.20,8.75
9.00,"-",9.50,33.18,4.28,0.29,0.00,0.00,37.75,106.20,2.80,9.25
9.50,"-",10.00,64.44,17.26,1.31,0.00,0.00,83.01,257.80,3.10,9.75
10.00,"-",10.50,74.67,79.12,8.50,0.00,0.00,162.29,620.80,3.80,10.25
10.50,"-",11.00,59.27,116.04,15.58,0.00,0.00,190.89,815.90,4.30,10.75
11.00,"-",11.50,24.65,104.74,21.10,0.00,0.00,150.49,751.20,5.00,11.25
11.50,"-",12.00,5.55,83.14,21.31,0.00,0.00,110.00,632.70,5.80,11.75
12.00,"-",12.50,1.56,61.02,20.17,0.00,0.00,82.75,564.10,6.80,12.25
12.50,"-",13.00,0.31,35.52,15.12,0.10,0.00,51.05,403.40,7.90,12.75
13.00,"-",13.50,0.10,19.37,15.68,0.23,0.00,35.38,325.20,9.20,13.25
13.50,"-",14.00,0.08,10.06,14.44,0.05,0.00,24.63,263.10,10.70,13.75
14.00,"-",14.50,0.04,8.05,12.13,0.38,0.00,20.60,255.50,12.40,14.25
14.50,"-",15.00,0.00,3.70,9.82,0.13,0.00,13.65,193.90,14.20,14.75
15.00,"-",15.50,0.00,2.04,6.23,0.35,0.00,8.62,140.30,16.30,15.25
15.50,"-",16.00,0.00,0.57,5.28,0.16,0.00,6.01,112.90,18.80,15.75
16.00,"-",16.50,0.00,0.23,3.08,0.59,0.00,3.90,83.20,21.30,16.25
16.50,"-",17.00,0.00,0.03,1.60,0.40,0.00,2.03,49.40,24.30,16.75
17.00,"-",17.50,0.00,0.03,0.81,0.48,0.07,1.39,34.90,25.10,17.25
17.50,"-",18.00,0.00,0.00,0.14,0.24,0.00,0.38,10.80,28.30,17.75
18.00,"-",18.50,0.00,0.00,0.14,0.15,0.00,0.29,9.40,32.60,18.25
18.50,"-",19.00,0.00,0.00,0.25,0.00,0.00,0.25,8.10,32.60,18.75
19.00,"-",19.50,0.00,0.00,0.07,0.10,0.00,0.17,6.60,39.00,19.25
19.50,"-",20.00,0.00,0.00,0.00,0.05,0.00,0.05,2.10,42.00,19.75
20.00,"-",20.50,,,,,,,,,20.25
20.50,"-",21.00,,,,,,,,,20.75
"TSN (109)",,,304.80,547.44,173.11,3.41,0.07,1028.83,,,
"TSB (103 t)",,,1082.34,3059.61,1523.64,70.73,1.76,,5738.08,,
"Mean length (cm)",,,10.01,11.42,12.72,16.03,17.25,11.23,,,
"Mean weight (g)",,,3.55,5.59,8.80,20.74,25.10,,,5.58,
"SSN (109 )",,,0.04,14.65,39.55,3.03,0.07,57.34,,,
"SSB (103 t)",,,0.50,202.71,634.89,67.29,1.76,,907.14,,
,,,,,,,,,,,
,,,,,,,,,,,
"Mean length imm.",,,10.01,11.33,12.01,13.18,,,,,
"Mean weight imm",,,3.55,5.36,6.65,9.06,,,,,
"Mean length mat",,,,14.62,15.11,16.39,17.25,15.06,,,
"Mean weight mat",,,,13.84,16.05,22.21,25.10,15.82,,,
