,,,,,,,,,,,
"Length (cm)",,,1,2,3,4,"5+","Sum ","Biomass ","Mean ","Mean length"
,,,2009,2008,2007,2006,"2005-","(109 )","(103 t)","weight (g)","(cm)"
5.00,"-",5.50,,,,,,,,,5.25
5.50,"-",6.00,2.81,,,,,2.81,2.81,1.00,5.75
6.00,"-",6.50,7.76,,,,,7.76,7.76,1.00,6.25
6.50,"-",7.00,10.18,,,,,10.18,10.18,1.00,6.75
7.00,"-",7.50,9.52,,,,,9.52,9.52,1.00,7.25
7.50,"-",8.00,13.19,,,,,13.19,18.47,1.40,7.75
8.00,"-",8.50,16.79,,,,,16.79,31.89,1.90,8.25
8.50,"-",9.00,28.98,,,,,28.98,60.86,2.10,8.75
9.00,"-",9.50,34.39,0.05,,,,34.44,89.55,2.60,9.25
9.50,"-",10.00,30.39,0.00,,,,30.39,91.18,3.00,9.75
10.00,"-",10.50,40.41,0.07,,,,40.47,145.71,3.60,10.25
10.50,"-",11.00,20.68,0.95,,,,21.63,95.16,4.40,10.75
11.00,"-",11.50,19.72,2.29,,,,22.01,110.05,5.00,11.25
11.50,"-",12.00,8.89,8.09,,,,16.97,101.84,6.00,11.75
12.00,"-",12.50,2.00,13.43,,,,15.43,104.93,6.80,12.25
12.50,"-",13.00,1.84,20.82,0.11,,,22.77,175.34,7.70,12.75
13.00,"-",13.50,0.07,23.32,0.86,,,24.24,215.77,8.90,13.25
13.50,"-",14.00,0.07,16.33,0.76,,,17.16,175.01,10.20,13.75
14.00,"-",14.50,0.02,20.60,2.54,,,23.16,268.68,11.60,14.25
14.50,"-",15.00,,8.48,2.68,,,11.16,151.72,13.60,14.75
15.00,"-",15.50,,5.48,7.07,0.00,,12.55,197.04,15.70,15.25
15.50,"-",16.00,,3.26,6.50,0.04,,9.80,175.44,17.90,15.75
16.00,"-",16.50,,1.33,8.75,0.24,,10.32,217.77,21.10,16.25
16.50,"-",17.00,,2.35,8.25,0.07,,10.67,250.75,23.50,16.75
17.00,"-",17.50,,0.47,8.38,0.19,,9.03,246.60,27.30,17.25
17.50,"-",18.00,,0.07,6.40,0.30,,6.78,204.05,30.10,17.75
18.00,"-",18.50,,0.21,4.44,0.06,0.01,4.71,157.75,33.50,18.25
18.50,"-",19.00,,0.08,2.84,0.01,,2.93,109.62,37.40,18.75
19.00,"-",19.50,,0.10,1.34,0.02,,1.45,59.61,41.00,19.25
19.50,"-",20.00,,,0.26,,,0.26,11.77,44.60,19.75
20.00,"-",20.50,,,0.03,,,0.03,1.18,47.00,20.25
20.50,"-",21.00,,,,,,0.00,0.00,52.00,20.75
"TSN (109)",,,"247,696","127,762","61,204","0,937","0,007","437,606",,,
"TSB (103 t)",,,"739,8","1300,9","1432,0","25,0","0,2",,"3498,0",,
"Mean length (cm)",,,"9,38","13,51","16,56","17,17","18,25","11,61",,,
"Mean weight (g)",,,"3,0","10,2","23,4","26,7","33,5",,,"8,0",
"SSN (109 )",,,"0,02","42,417","59,470","0,937","0,007","102,855",,,
"SSB (103 t)",,,"0,28","610,7","1415,7","25,0","0,2",,"2052,0",,
,,,,,,,,,,,
,,,,,,,,,,,
"Mean length imm.",,,"9,38","12,84",,,,,,,
"Mean weight imm",,,"2,99","8,09",,,,,,,
"Mean length mat",,,"14,25","14,87","16,65","17,17","18,25","15,9",,,
"Mean weight mat",,,"11,60","14,40","23,81","26,72","33,50","20,0",,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,"2,4","9,7","21,9","29,0474089722878",,,,,
