,,,,,,,,,,,
"Length (cm)",,,1,2,3,4,"5+","Sum ","Biomass ","Mean ","Mean length"
,,,2007,2006,2005,2004,"2003-","(109 )","(103 t)","weight (g)","(cm)"
5.00,"-",5.50,,,,,,,,,5.25
5.50,"-",6.00,,,,,,,,,5.75
6.00,"-",6.50,,,,,,,,,6.25
6.50,"-",7.00,0.99,,,,,0.99,1.10,1.10,6.75
7.00,"-",7.50,6.88,,,,,6.88,7.80,1.10,7.25
7.50,"-",8.00,17.02,,,,,17.02,29.60,1.70,7.75
8.00,"-",8.50,32.84,,,,,32.84,62.70,1.90,8.25
8.50,"-",9.00,43.48,,,,,43.48,100.60,2.30,8.75
9.00,"-",9.50,55.36,,,,,55.36,156.30,2.80,9.25
9.50,"-",10.00,52.96,,,,,52.96,165.20,3.10,9.75
10.00,"-",10.50,50.65,,,,,50.65,187.60,3.70,10.25
10.50,"-",11.00,27.69,,,,,27.69,118.00,4.30,10.75
11.00,"-",11.50,15.01,2.07,,,,17.07,83.60,4.90,11.25
11.50,"-",12.00,8.01,10.36,,,,18.36,114.10,6.20,11.75
12.00,"-",12.50,1.41,10.93,,,,12.34,89.20,7.20,12.25
12.50,"-",13.00,0.24,26.96,,,,27.20,215.80,7.90,12.75
13.00,"-",13.50,0.32,28.93,,,,29.25,276.50,9.50,13.25
13.50,"-",14.00,0.00,32.20,,,,32.20,355.20,11.00,13.75
14.00,"-",14.50,0.11,43.30,0.01,,,43.42,525.10,12.10,14.25
14.50,"-",15.00,0.00,25.12,0.34,,,25.45,350.80,13.80,14.75
15.00,"-",15.50,0.00,23.05,0.83,,,23.87,376.10,15.80,15.25
15.50,"-",16.00,,12.54,2.33,,,14.87,257.40,17.30,15.75
16.00,"-",16.50,,9.33,2.97,,,12.30,252.90,20.60,16.25
16.50,"-",17.00,,3.97,4.79,0.55,,9.31,204.30,22.00,16.75
17.00,"-",17.50,,1.68,5.62,0.02,,7.31,182.30,24.90,17.25
17.50,"-",18.00,,0.53,3.63,0.00,,4.15,119.70,28.80,17.75
18.00,"-",18.50,,0.22,3.17,0.05,,3.44,107.40,31.20,18.25
18.50,"-",19.00,,0.04,0.71,0.98,,1.73,60.10,34.80,18.75
19.00,"-",19.50,,0.20,0.45,0.05,,0.70,27.30,38.80,19.25
19.50,"-",20.00,,,0.01,0.04,,0.05,1.90,38.50,19.75
20.00,"-",20.50,,,,,,0.00,0.00,,20.25
20.50,"-",21.00,,,,,,0.00,0.00,,20.75
"TSN (109)",,,"312,958","231,407","24,855","1,679",,"570,899",,,
"TSB (103 t)",,,"965,2","2799,1","610,7","51,4",,,"4426,5",,
"Mean length (cm)",,,"9,50","14,04","17,07","18,11",,"11,70",,,
"Mean weight (g)",,,"3,1","12,1","24,6","30,6",,,,"7,8",
"SSN (109 )",,,"0,11","119,966","24,855","1,679",,"146,609",,,
"SSB (103 t)",,,"1,30","1804,1","610,7","51,4",,,"2467,6",,
,,,,,,,,,,,
,,,,,,,,,,,
"Mean length imm.",,,"9,50","13,00",,,,,,,
"Mean weight imm",,,"3,08","8,93",,,,,,,
"Mean length mat",,,,"15,02","17,07","18,11",,"15,4",,,
"Mean weight mat",,,,"15,04","24,57","30,63",,"16,8",,,
