,,,"Age/Year class",,,,,,,,
"Length (cm)",,,1.00,2.00,3.00,4.00,"5+","Sum ","Biomass ","Mean ","Mean length"
,,,1982.00,1981.00,1980.00,1979.00,1978.00,"(109 )","(103 t)","weight (g)",
5.00,"-",5.50,,,,,,,,,5.25
5.50,"-",6.00,,,,,,,,,5.75
6.00,"-",6.50,,,,,,,,,6.25
6.50,"-",7.00,5.27,0.00,0.00,0.00,0.00,5.27,5.30,1.00,6.75
7.00,"-",7.50,7.18,0.00,0.00,0.00,0.00,7.18,7.20,1.00,7.25
7.50,"-",8.00,10.16,0.00,0.00,0.00,0.00,10.16,10.90,1.10,7.75
8.00,"-",8.50,27.56,0.00,0.00,0.00,0.00,27.56,55.70,2.00,8.25
8.50,"-",9.00,96.43,0.00,0.00,0.00,0.00,96.43,208.30,2.20,8.75
9.00,"-",9.50,119.53,1.46,0.00,0.00,0.00,120.99,340.10,2.80,9.25
9.50,"-",10.00,109.66,2.91,0.00,0.00,0.00,112.57,353.20,3.10,9.75
10.00,"-",10.50,67.10,4.40,0.00,0.00,0.00,71.50,278.10,3.90,10.25
10.50,"-",11.00,38.15,15.71,0.00,0.00,0.00,53.86,249.80,4.60,10.75
11.00,"-",11.50,21.61,23.39,0.00,0.00,0.00,45.00,249.10,5.50,11.25
11.50,"-",12.00,8.49,24.67,0.00,0.00,0.00,33.16,212.60,6.40,11.75
12.00,"-",12.50,2.16,30.13,0.27,0.00,0.00,32.56,248.30,7.60,12.25
12.50,"-",13.00,1.44,23.93,0.64,0.00,0.00,26.01,231.10,8.90,12.75
13.00,"-",13.50,0.14,22.12,2.32,0.00,0.00,24.58,253.00,10.30,13.25
13.50,"-",14.00,0.00,14.25,2.52,0.00,0.00,16.77,199.20,11.90,13.75
14.00,"-",14.50,0.00,11.57,5.32,0.00,0.00,16.89,231.20,13.70,14.25
14.50,"-",15.00,0.00,8.21,4.66,0.00,0.00,12.87,199.50,15.50,14.75
15.00,"-",15.50,0.00,7.34,5.21,0.07,0.00,12.62,225.60,17.90,15.25
15.50,"-",16.00,0.00,3.88,4.38,0.06,0.00,8.32,168.80,20.30,15.75
16.00,"-",16.50,0.00,2.87,5.45,0.14,0.00,8.46,191.90,22.70,16.25
16.50,"-",17.00,0.00,1.65,2.77,0.09,0.00,4.51,117.10,26.00,16.75
17.00,"-",17.50,0.00,1.07,2.64,0.00,0.00,3.71,106.10,28.60,17.25
17.50,"-",18.00,0.00,0.33,1.33,0.00,0.00,1.66,54.10,32.60,17.75
18.00,"-",18.50,0.00,0.11,0.36,0.00,0.00,0.47,16.10,34.30,18.25
18.50,"-",19.00,0.00,0.18,0.22,0.00,0.00,0.40,16.10,40.20,18.75
19.00,"-",19.50,0.00,0.01,0.02,0.00,0.00,0.03,1.30,45.00,19.25
19.50,"-",20.00,,,,,,,,,19.75
20.00,"-",20.50,,,,,,,,,20.25
20.50,"-",21.00,,,,,,,,,20.75
"TSN (109)",,,514.88,200.19,38.11,0.36,0.00,753.54,,,
"TSB (103 t)",,,1606.57,1885.23,725.61,7.99,0.00,,4225.39,,
"Mean length (cm)",,,9.52,12.66,15.35,16.10,,10.65,,,
"Mean weight (g)",,,3.12,9.42,19.04,22.19,,,,5.61,
"SSN (109 )",,,0.00,37.22,32.36,0.36,,69.94,,,
"SSB (103 t)",,,0.00,656.78,663.98,7.99,,,1328.75,,
,,,,,,,,,,,
,,,,,,,,,,,
"Mean length imm.",,,9.52,12.10,13.37,,,,,,
"Mean weight imm",,,3.12,7.54,10.72,,,,,,
"Mean length mat",,,,15.13,15.70,16.10,,15.40,,,
"Mean weight mat",,,,17.65,20.52,22.19,,19.00,,,
