,,,,,,,,,,,
"Length (cm)",,,1,2,3,4,"5+","Sum ","Biomass ","Mean ","Mean length"
,,,2005,2004,2003,2002,"2001-","(109 )","(103 t)","weight (g)","(cm)"
5.00,"-",5.50,,,,,,0.00,0.00,0.00,5.25
5.50,"-",6.00,,,,,,0.00,0.00,0.00,5.75
6.00,"-",6.50,,,,,,0.00,0.00,0.00,6.25
6.50,"-",7.00,0.28,,,,,0.28,0.30,1.00,6.75
7.00,"-",7.50,1.46,,,,,1.46,1.70,1.20,7.25
7.50,"-",8.00,2.06,,,,,2.06,4.10,2.00,7.75
8.00,"-",8.50,5.04,,,,,5.04,10.10,2.00,8.25
8.50,"-",9.00,3.52,,,,,3.52,8.80,2.50,8.75
9.00,"-",9.50,4.02,,,,,4.02,11.70,2.90,9.25
9.50,"-",10.00,4.30,,,,,4.30,15.30,3.60,9.75
10.00,"-",10.50,6.65,0.16,,,,6.81,29.20,4.30,10.25
10.50,"-",11.00,9.45,,,,,9.45,46.90,5.00,10.75
11.00,"-",11.50,6.50,0.21,,,,6.71,38.10,5.70,11.25
11.50,"-",12.00,8.46,0.27,,,,8.73,56.00,6.40,11.75
12.00,"-",12.50,3.37,0.07,,,,3.44,26.70,7.80,12.25
12.50,"-",13.00,3.49,1.17,,,,4.66,38.80,8.30,12.75
13.00,"-",13.50,1.14,1.44,0.11,,,2.69,26.60,9.90,13.25
13.50,"-",14.00,0.35,2.65,0.06,,,3.06,35.10,11.50,13.75
14.00,"-",14.50,0.02,3.80,0.23,,,4.06,53.90,13.30,14.25
14.50,"-",15.00,,2.77,0.33,0.00,,3.10,48.40,15.60,14.75
15.00,"-",15.50,0.00,2.67,0.44,0.02,,3.13,55.00,17.60,15.25
15.50,"-",16.00,,2.62,0.48,0.00,,3.09,61.20,19.80,15.75
16.00,"-",16.50,,1.96,0.78,0.01,,2.75,62.40,22.70,16.25
16.50,"-",17.00,,1.16,0.99,0.03,,2.18,54.90,25.20,16.75
17.00,"-",17.50,,0.46,0.67,0.00,,1.13,32.80,29.00,17.25
17.50,"-",18.00,,0.16,0.98,0.09,,1.22,38.90,31.90,17.75
18.00,"-",18.50,,0.09,0.36,0.16,,0.61,21.20,34.90,18.25
18.50,"-",19.00,,0.01,0.16,0.02,0.00,0.18,6.80,36.80,18.75
19.00,"-",19.50,,0.01,0.01,0.01,,0.03,1.40,46.60,19.25
19.50,"-",20.00,,,,,,0.00,0.00,0.00,19.75
20.00,"-",20.50,,,,,,0.00,0.00,0.00,20.25
20.50,"-",21.00,,,,,,0.00,0.00,0.00,20.75
"TSN (109)",,,"60,094","21,686","5,575","0,344","0,001","87,700",,,
"TSB (103 t)",,,"290,0","347,2","139,1","10,9","0,0",,"787,2",,
"Mean length (cm)",,,"10,45","14,73","16,55","17,73","18,75","11,93",,,
"Mean weight (g)",,,"4,8","16,0","24,9","31,8","36,8",,,"9,0",
"SSN (109 )",,,"0,02","15,699","5,413","0,344","0,001","21,477",,,
"SSB (103 t)",,,"0,29","288,4","137,4","10,9","0,0",,"437,0",,
,,,,,,,,,,,
,,,,,,,,,,,
"Mean length imm.",,,"10,45","13,14","13,42","#DIV/0!",,,,,
"Mean weight imm",,,"4,82","9,81","10,44","#DIV/0!",,,,,
"Mean length mat",,,,"15,34","16,65","17,73","18,75","15,7",,,
"Mean weight mat",,,,"18,37","25,38","31,83","36,80","20,3",,,
