,,,"Age/Year class",,,,,,,,
"Length (cm)",,,1,2,3,4,"5+","Sum ","Biomass ","Mean ","Mean length"
,,,1986,1985,1984,1983,1982,"(109 )","(103 t)","weight (g)",
5.00,"-",5.50,,,,,,,,,5.25
5.50,"-",6.00,,,,,,,,,5.75
6.00,"-",6.50,2.22,0.00,0.00,0.00,0.00,2.22,2.20,1.00,6.25
6.50,"-",7.00,3.63,0.00,0.00,0.00,0.00,3.63,3.60,1.00,6.75
7.00,"-",7.50,3.30,0.00,0.00,0.00,0.00,3.30,3.30,1.00,7.25
7.50,"-",8.00,3.19,0.00,0.00,0.00,0.00,3.19,3.60,1.10,7.75
8.00,"-",8.50,5.31,0.00,0.00,0.00,0.00,5.31,8.80,1.60,8.25
8.50,"-",9.00,7.52,0.00,0.00,0.00,0.00,7.52,15.90,2.10,8.75
9.00,"-",9.50,5.41,0.00,0.00,0.00,0.00,5.41,13.10,2.40,9.25
9.50,"-",10.00,3.15,0.02,0.00,0.00,0.00,3.18,9.70,3.10,9.75
10.00,"-",10.50,1.35,0.02,0.00,0.00,0.00,1.37,4.80,3.50,10.25
10.50,"-",11.00,1.10,0.01,0.00,0.00,0.00,1.10,4.80,4.30,10.75
11.00,"-",11.50,0.48,0.00,0.00,0.00,0.00,0.48,2.40,4.90,11.25
11.50,"-",12.00,0.43,0.01,0.00,0.00,0.00,0.43,2.50,5.70,11.75
12.00,"-",12.50,0.26,0.03,0.00,0.00,0.00,0.29,1.90,6.50,12.25
12.50,"-",13.00,0.15,0.09,0.00,0.00,0.00,0.24,1.90,8.00,12.75
13.00,"-",13.50,0.06,0.16,,0.00,0.00,0.23,2.10,9.30,13.25
13.50,"-",14.00,0.02,0.27,0.02,0.00,0.00,0.30,3.20,10.60,13.75
14.00,"-",14.50,0.00,0.42,0.02,0.00,0.00,0.44,5.40,12.20,14.25
14.50,"-",15.00,0.00,0.40,0.02,0.00,0.00,0.42,5.90,14.00,14.75
15.00,"-",15.50,0.00,0.18,0.03,0.00,0.00,0.22,3.40,15.70,15.25
15.50,"-",16.00,0.00,0.09,0.01,0.00,0.00,0.10,1.70,17.40,15.75
16.00,"-",16.50,0.00,0.01,,0.00,0.00,0.01,0.18,18.40,16.25
16.50,"-",17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.75
17.00,"-",17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.25
17.50,"-",18.00,0.00,0.00,0.00,0.01,0.00,0.01,0.34,34.00,17.75
18.00,"-",18.50,,,,,,,,,18.25
18.50,"-",19.00,,,,,,,,,18.75
19.00,"-",19.50,,,,,,,,,19.25
19.50,"-",20.00,,,,,,,,,19.75
20.00,"-",20.50,,,,,,,,,20.25
20.50,"-",21.00,,,,,,,,,20.75
"TSN (109)",,,"37,578","1,700","0,098","0,012","0,000","39,388",,,
"TSB (103 t)",,,"77,6","20,7","1,4","0,4","0,0",,"100,1",,
"Mean length (cm)",,,"8,51","14,15","14,78","17,75",,"8,77",,,
"Mean weight (g)",,,"2,1","12,2","14,1","34,0",,,,"2,5",
"SSN (109 )",,,"0,00","1,099","0,082","0,012",,"1,194",,,
"SSB (103 t)",,,"0,00","15,3","1,2","0,4",,,"16,9",,
,,,,,,,,,,,
,,,,,,,,,,,
"Mean length imm.",,,"8,51","13,08","13,75",,,,,,
"Mean weight imm",,,"2,06","9,04","10,60",,,,,,
"Mean length mat",,,,"14,73","14,98","17,75",,"14,8",,,
"Mean weight mat",,,,"13,90","14,76","34,00",,"14,2",,,
