,,,"Age/Year class",,,,,,,,
"Length (cm)",,,1,2,3,4,"5+","Sum ","Biomass ","Mean ","Mean length"
,,,1995,1994,1993,1992,1991,"(109 )","(103 t)","weight (g)",
5.00,"-",5.50,,,,,,,,,5.25
5.50,"-",6.00,,,,,,,,,5.75
6.00,"-",6.50,,,,,,,,,6.25
6.50,"-",7.00,9.26,0.00,0.00,0.00,0.00,9.26,9.30,1.00,6.75
7.00,"-",7.50,6.11,0.00,0.00,0.00,0.00,6.11,6.10,1.00,7.25
7.50,"-",8.00,7.13,0.00,0.00,0.00,0.00,7.13,8.50,1.20,7.75
8.00,"-",8.50,8.52,0.00,0.00,0.00,0.00,8.52,15.30,1.80,8.25
8.50,"-",9.00,9.91,0.00,0.00,0.00,0.00,9.91,20.70,2.10,8.75
9.00,"-",9.50,9.87,0.07,0.00,0.00,0.00,9.94,26.90,2.70,9.25
9.50,"-",10.00,7.02,0.00,0.00,0.00,0.00,7.02,21.90,3.10,9.75
10.00,"-",10.50,7.05,0.13,0.00,0.00,0.00,7.18,26.70,3.70,10.25
10.50,"-",11.00,5.79,0.14,0.00,0.00,0.00,5.93,26.80,4.50,10.75
11.00,"-",11.50,4.60,0.08,0.00,0.00,0.00,4.67,25.90,5.50,11.25
11.50,"-",12.00,3.18,0.24,0.00,0.00,0.00,3.42,22.10,6.50,11.75
12.00,"-",12.50,1.45,0.16,0.00,0.00,0.00,1.61,12.20,7.60,12.25
12.50,"-",13.00,1.03,0.37,0.02,0.00,0.00,1.42,12.40,8.70,12.75
13.00,"-",13.50,0.62,0.32,0.02,0.00,0.00,0.96,9.20,9.60,13.25
13.50,"-",14.00,0.25,0.59,0.07,0.00,0.00,0.90,10.00,11.10,13.75
14.00,"-",14.50,0.11,0.71,0.01,0.00,0.00,0.83,10.60,12.70,14.25
14.50,"-",15.00,0.01,1.06,0.07,0.00,0.00,1.13,16.30,14.40,14.75
15.00,"-",15.50,0.00,1.20,0.22,0.00,0.00,1.42,23.40,16.50,15.25
15.50,"-",16.00,0.00,1.29,0.21,0.01,0.00,1.51,27.60,18.30,15.75
16.00,"-",16.50,0.00,1.51,0.28,0.00,0.00,1.79,38.40,21.40,16.25
16.50,"-",17.00,0.00,1.70,0.29,0.01,0.00,1.99,47.40,23.80,16.75
17.00,"-",17.50,0.00,1.12,0.38,0.02,0.00,1.52,40.10,26.40,17.25
17.50,"-",18.00,0.00,0.55,0.21,0.00,0.00,0.75,22.30,29.60,17.75
18.00,"-",18.50,0.00,0.24,0.19,0.02,0.00,0.45,15.40,34.20,18.25
18.50,"-",19.00,0.00,0.04,0.08,0.00,0.00,0.13,4.80,37.90,18.75
19.00,"-",19.50,0.00,0.03,0.03,0.00,0.00,0.06,2.10,36.40,19.25
19.50,"-",20.00,,,,,,,,,19.75
20.00,"-",20.50,,,,,,,,,20.25
20.50,"-",21.00,,,,,,,,,20.75
"TSN (109)",,,"81,907","11,528","2,071","0,069","0,000","95,575",,,
"TSB (103 t)",,,"236,8","214,1","49,4","1,8","0,0",,"502,1",,
"Mean length (cm)",,,"9,12","15,45","16,62","17,16",,"10,05",,,
"Mean weight (g)",,,"2,9","18,6","23,8","26,7",,,,"5,3",
"SSN (109 )",,,"0,12","9,434","1,965","0,069",,"11,586",,,
"SSB (103 t)",,,"1,52","196,8","48,3","1,8",,,"248,4",,
,,,,,,,,,,,
,,,,,,,,,,,
"Mean length imm.",,,"9,11","12,49","13,47","#DIV/0!",,,,,
"Mean weight imm",,,"2,88","8,26","10,37","#DIV/0!",,,,,
"Mean length mat",,,,"16,10","16,79","17,16",,"16,2",,,
"Mean weight mat",,,,"20,86","24,56","26,70",,"21,4",,,
