Beam-5.2,,,,,,,,,,,
Length (cm),,,1,2,3,4,5+,Sum ,Biomass ,Mean ,Mean length
,,,2012,2011,2010,2009,2008-,(109 ),(103 t),weight (g),(cm)
5.0,-,5.5,,,,,,,,,5.25
5.5,-,6.0,,,,,,,,,5.75
6.0,-,6.5,1.024,,,,,1.024,0.922,0.9,6.25
6.5,-,7.0,1.730,,,,,1.730,1.903,1.1,6.75
7.0,-,7.5,4.344,,,,,4.344,4.778,1.1,7.25
7.5,-,8.0,12.645,,,,,12.645,22.761,1.8,7.75
8.0,-,8.5,30.055,,,,,30.055,60.110,2.0,8.25
8.5,-,9.0,61.374,0.390,,,,61.764,142.057,2.3,8.75
9.0,-,9.5,79.927,2.370,,,,82.297,238.661,2.9,9.25
9.5,-,10.0,42.733,4.087,,,,46.820,149.824,3.2,9.75
10.0,-,10.5,40.521,10.544,,,,51.065,199.154,3.9,10.25
10.5,-,11.0,22.475,15.130,,,,37.605,169.223,4.5,10.75
11.0,-,11.5,12.320,27.673,0.019,,,40.012,212.064,5.3,11.25
11.5,-,12.0,7.060,28.854,2.166,,,38.080,239.904,6.3,11.75
12.0,-,12.5,4.119,31.049,0.634,0.119,,35.921,258.631,7.2,12.25
12.5,-,13.0,2.897,26.210,3.056,,,32.163,270.169,8.4,12.75
13.0,-,13.5,0.783,23.589,3.975,,,28.347,280.635,9.9,13.25
13.5,-,14.0,0.215,13.341,6.620,0.333,,20.509,233.803,11.4,13.75
14.0,-,14.5,0.236,11.342,7.285,0.425,,19.288,244.958,12.7,14.25
14.5,-,15.0,,8.042,9.034,0.349,,17.425,257.890,14.8,14.75
15.0,-,15.5,,6.022,6.625,0.637,,13.284,224.500,16.9,15.25
15.5,-,16.0,,4.240,7.013,0.413,,11.666,221.654,19.0,15.75
16.0,-,16.5,,2.114,5.324,0.831,,8.269,181.091,21.9,16.25
16.5,-,17.0,,0.541,3.562,1.157,,5.260,128.870,24.5,16.75
17.0,-,17.5,,0.610,2.609,0.870,,4.089,113.265,27.7,17.25
17.5,-,18.0,,0.034,1.083,1.241,,2.358,68.146,28.9,17.75
18.0,-,18.5,,0.007,0.190,0.395,,0.592,19.832,33.5,18.25
18.5,-,19.0,,,0.003,0.255,,0.258,8.617,33.4,18.75
19.0,-,19.5,,,,0.051,,0.051,1.989,39.0,19.25
19.5,-,20.0,,,,0.006,0.004,,,29.1,19.75
20.0,-,20.5,,,,,,,,,20.25
20.5,-,21.0,,,,,,,,,
TSN (109),,,324.458,216.189,59.198,7.082,0.004,606.931,,,
TSB (103 t),,,1036.3,1810.9,944.1,164.3,0.1,,3955.7,,
Mean length (cm),,,9.47,12.44,14.84,16.45,19.75,11.13,,,
Mean weight (g),,,3.19,8.38,15.95,23.19,29.10,,,6.5,
SSN (109 ),,,0.236,32.952,42.728,6.630,0.004,82.540,,,
SSB (103 t),,,3.0,523.1,785.3,159.6,0.1,,1470.8,,
,,,,,,,,,,,
,,,,,,,,,,,
Mean length imm.,,,9.46,11.99,13.12,13.36,#DIV/0!,10.5,,,
Mean weight imm,,,3.19,7.03,9.64,10.29,#DIV/0!,4.7,,,
Mean length mat,,,14.25,14.98,15.50,16.66,19.75,15.4,,,
Mean weight mat,,,12.70,15.87,18.38,24.07,29.10,17.8,,,
,,,,,,,,,,,
