,,,"Age",,,,,,,,,,,,,,"Age/Year class",,,,,,,,,,,,,,,,,
"Length (cm)",,,1,2,3,4,"5+","Sum ","Biomass ","Mean ","Mean length",,,"Length (cm)",,,1,2,3,4,"5+","Sum ","Biomass ","Mean ",,,,,,,,,,
,,,1981,1980,1979,1978,1977,"(109 )","(103 t)","weight (g)",,,,,,,1981,1980,1979,1978,1977,"(109 )","(103 t)","weight (g)",,,,,,,,,,
17.50,"-",18.00,0.00,3.00,3.07,0.20,0.00,6.27,194.70,31.00,17.75,,,17.50,"-",18.00,0.00,1.44,2.76,0.20,0.00,4.40,136.49,31.00,,44.64,,,85.65,,,44.64,,85.65
18.00,"-",18.50,0.00,0.42,2.59,0.00,0.00,3.01,103.80,34.50,18.25,,,18.00,"-",18.50,0.00,0.20,2.33,0.00,0.00,2.53,87.37,34.50,,6.96,,,80.42,,,6.96,,80.42
18.50,"-",19.00,0.00,0.26,0.57,0.00,0.00,0.83,29.80,35.90,18.75,,,18.50,"-",19.00,0.00,0.12,0.51,0.00,0.00,0.64,22.90,35.90,,4.48,,,18.42,,,4.48,,18.42
19.00,"-",19.50,0.00,0.00,0.87,0.14,0.00,1.01,40.70,40.30,19.25,,,19.00,"-",19.50,0.00,0.00,0.78,0.14,0.00,0.92,37.20,40.30,,0.00,,,31.55,,,0.00,,31.55
19.50,"-",20.00,0.00,0.14,0.29,0.14,0.00,0.57,24.70,43.30,19.75,,,19.50,"-",20.00,0.00,0.07,0.26,0.14,0.00,0.47,20.27,43.30,,2.91,,,11.30,,,2.91,,11.30
20.00,"-",20.50,0.00,0.00,0.14,0.00,0.00,0.14,7.00,50.00,20.25,,,20.00,"-",20.50,0.00,0.00,0.13,0.00,0.00,0.13,6.30,50.00,,0.00,,,,,,,,6.30
20.50,"-",21.00,,,,,,,,,20.75,,,20.50,"-",21.00,,,,,,,,,,,,,,,,,,
"TSN (109)",,,"528,310","307,550","63,130","2,160","0,000","901,150",,,,,,"TSN (109)",,,"528,310","147,624","56,817","2,160","0,000","734,911",,,,"1328,73744",,,"1173,7503",,,1329,,1180
"TSB (103 t)",,,"1215,5","2768,2","1311,2","53,9","0,0",,"5348,8",,,,,"TSB (103 t)",,,"1215,5","1328,7","1180,1","53,9","0,0",,"3778,2",,,,,,,,,,,
"Mean length (cm)",,,"8,57","12,70","15,91","16,76",,"10,51",,,,,,"Mean length (cm)",,,"8,57","12,70","15,91","16,76",,"9,99",,,,,,,,,,,,
"Mean weight (g)",,,"2,3","9,0","20,8","25,0",,,,"5,9",,,,"Mean weight (g)",,,"2,3","9,0","20,8","25,0",,,,"5,1",,,,,,,,,,
"SSN (109 )",,,"0,00","45,170","60,680","2,160",,"108,010",,,,,,"SSN (109 )",,,"0,00","21,682","54,612","2,160",,"78,454",,,,,,,,,,,,
"SSB (103 t)",,,"0,00","792,9","1285,0","53,9",,,"2131,8",,,,,"SSB (103 t)",,,"0,00","380,6","1156,5","53,9",,,"1591,0",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mean length imm.",,,"8,57","12,26","13,51",,,,,,,,,"Mean length imm.",,,"8,57","12,26","13,51",,,,,,,,,,,,,,,
"Mean weight imm",,,"2,30","7,53","10,70",,,,,,,,,"Mean weight imm",,,"2,30","7,53","10,70",,,,,,,,,,,,,,,
"Mean length mat",,,,"15,24","16,01","16,76",,"15,7",,,,,,"Mean length mat",,,,"15,24","16,01","16,76",,"15,8",,,,,,,,,,,,
"Mean weight mat",,,,"17,55","21,18","24,98",,"19,7",,,,,,"Mean weight mat",,,,"17,55","21,18","24,98",,"20,3",,,,,,,,,,,,
