,,,"Age/Year class",,,,,,,,
"Length (cm)",,,1,2,3,4,"5+","Sum ","Biomass ","Mean ","Mean length"
,,,1997,1996,1995,1994,1993,"(109 )","(103 t)","weight (g)",
5.00,"-",5.50,,,,,,,,,5.25
5.50,"-",6.00,,,,,,,,,5.75
6.00,"-",6.50,0.45,,,,,0.45,0.40,0.90,6.25
6.50,"-",7.00,0.58,,,,,0.58,0.60,1.00,6.75
7.00,"-",7.50,1.15,,,,,1.15,1.20,1.00,7.25
7.50,"-",8.00,1.52,,,,,1.52,1.60,1.00,7.75
8.00,"-",8.50,12.99,,,,,12.99,17.30,1.30,8.25
8.50,"-",9.00,9.04,,,,,9.04,19.30,2.10,8.75
9.00,"-",9.50,12.98,0.15,,,,13.14,35.10,2.70,9.25
9.50,"-",10.00,19.35,0.19,,,,19.54,66.30,3.40,9.75
10.00,"-",10.50,27.43,0.88,,,,28.31,114.70,4.10,10.25
10.50,"-",11.00,30.33,1.64,,,,31.96,154.90,4.80,10.75
11.00,"-",11.50,25.85,1.59,,,,27.44,153.40,5.60,11.25
11.50,"-",12.00,22.10,3.63,,,,25.73,165.50,6.40,11.75
12.00,"-",12.50,9.49,5.53,0.08,,,15.09,113.80,7.50,12.25
12.50,"-",13.00,4.07,6.43,0.08,,,10.58,91.90,8.70,12.75
13.00,"-",13.50,1.17,7.57,0.05,,,8.79,89.20,10.20,13.25
13.50,"-",14.00,0.42,8.06,0.06,,,8.53,99.20,11.60,13.75
14.00,"-",14.50,0.08,9.02,0.26,,,9.35,126.50,13.50,14.25
14.50,"-",15.00,0.05,8.26,0.59,0.00,,8.90,137.00,15.40,14.75
15.00,"-",15.50,,7.12,0.58,0.04,,7.74,135.30,17.50,15.25
15.50,"-",16.00,,5.22,0.97,0.01,,6.21,122.80,19.80,15.75
16.00,"-",16.50,,3.37,1.87,0.14,,5.37,117.50,21.90,16.25
16.50,"-",17.00,,2.67,2.40,0.04,,5.11,126.00,24.70,16.75
17.00,"-",17.50,,0.61,1.59,0.16,0.05,2.40,67.20,27.90,17.25
17.50,"-",18.00,,0.57,1.11,0.13,0.03,1.84,56.60,30.70,17.75
18.00,"-",18.50,,0.10,0.54,0.08,,0.71,25.00,35.10,18.25
18.50,"-",19.00,,0.05,0.26,0.03,0.01,0.35,13.60,38.90,18.75
19.00,"-",19.50,,,0.09,,,0.09,3.80,40.50,19.25
19.50,"-",20.00,,,,0.01,,0.01,0.50,41.00,19.75
20.00,"-",20.50,,,,,,,,,20.25
20.50,"-",21.00,,,,,,,,,20.75
"TSN (109)",,,"179,026","72,645","10,518","0,620","0,085","262,894",,,
"TSB (103 t)",,,"809,8","969,3","255,9","17,2","2,5",,"2054,7",,
"Mean length (cm)",,,"10,45","13,97","16,55","17,18","17,56","11,69",,,
"Mean weight (g)",,,"4,5","13,3","24,3","27,8","29,9",,,"7,8",
"SSN (109 )",,,"0,13","36,983","10,261","0,620","0,085","48,079",,,
"SSB (103 t)",,,"1,85","656,6","253,5","17,2","2,5",,"931,7",,
,,,,,,,,,,,
,,,,,,,,,,,
"Mean length imm.",,,"10,45","12,65","12,92",,,,,,
"Mean weight imm",,,"4,52","8,77","9,27",,,,,,
"Mean length mat",,,,"15,25","16,64","17,18","17,56","15,6",,,
"Mean weight mat",,,,"17,75","24,70","27,75","29,89","19,4",,,
