,,,,,,,,,,,
"Length (cm)",,,1,2,3,4,"5+","Sum ","Biomass ","Mean ","Mean length"
,,,2008,2007,2006,2005,"2004-","(109 )","(103 t)","weight (g)","(cm)"
5.00,"-",5.50,,,,,,0.00,0.00,,5.25
5.50,"-",6.00,,,,,,0.00,0.00,,5.75
6.00,"-",6.50,0.02,,,,,0.02,0.02,1.00,6.25
6.50,"-",7.00,0.21,,,,,0.21,0.21,1.00,6.75
7.00,"-",7.50,0.70,,,,,0.70,0.83,1.20,7.25
7.50,"-",8.00,1.93,,,,,1.93,3.28,1.70,7.75
8.00,"-",8.50,9.91,0.07,,,,9.98,19.96,2.00,8.25
8.50,"-",9.00,19.59,,,,,19.59,47.02,2.40,8.75
9.00,"-",9.50,22.90,0.81,,,,23.71,66.39,2.80,9.25
9.50,"-",10.00,24.44,0.36,,,,24.80,81.85,3.30,9.75
10.00,"-",10.50,25.15,1.67,,,,26.82,107.29,4.00,10.25
10.50,"-",11.00,11.83,3.29,,,,15.11,72.54,4.80,10.75
11.00,"-",11.50,4.93,5.09,,,,10.02,55.10,5.50,11.25
11.50,"-",12.00,1.40,16.87,,,,18.27,116.93,6.40,11.75
12.00,"-",12.50,0.44,16.26,,,,16.69,121.87,7.30,12.25
12.50,"-",13.00,0.42,26.09,0.01,,,26.51,225.37,8.50,12.75
13.00,"-",13.50,0.06,24.57,0.14,,,24.77,242.76,9.80,13.25
13.50,"-",14.00,0.02,24.10,0.33,,,24.45,271.42,11.10,13.75
14.00,"-",14.50,0.02,13.76,1.49,,,15.26,192.33,12.60,14.25
14.50,"-",15.00,0.05,9.96,1.58,,,11.59,164.58,14.20,14.75
15.00,"-",15.50,,6.00,3.68,,,9.68,158.74,16.40,15.25
15.50,"-",16.00,,5.31,6.72,,,12.03,222.61,18.50,15.75
16.00,"-",16.50,,5.07,8.42,,,13.48,283.08,21.00,16.25
16.50,"-",17.00,,3.26,12.82,0.03,,16.10,376.79,23.40,16.75
17.00,"-",17.50,,1.15,9.49,0.06,,10.70,286.81,26.80,17.25
17.50,"-",18.00,,2.00,7.07,0.16,,9.23,278.75,30.20,17.75
18.00,"-",18.50,,0.65,6.44,,,7.09,234.65,33.10,18.25
18.50,"-",19.00,,0.07,1.95,,,2.02,72.11,35.70,18.75
19.00,"-",19.50,,,1.21,,,1.21,46.91,38.90,19.25
19.50,"-",20.00,,,0.13,,,0.13,5.51,43.40,19.75
20.00,"-",20.50,,,,,,0.00,0.00,,20.25
20.50,"-",21.00,,,,,,0.00,0.00,,20.75
"TSN (109)",,,"124,021","166,382","61,466","0,251",,"352,120",,,
"TSB (103 t)",,,"418,0","1819,8","1510,8","7,2",,,"3755,7",,
"Mean length (cm)",,,"9,63","13,41","16,81","17,51",,"12,68",,,
"Mean weight (g)",,,"3,4","10,9","24,6","28,6",,,,"10,7",
"SSN (109 )",,,"0,07","47,213","60,992","0,251",,"108,522",,,
"SSB (103 t)",,,"0,91","809,0","1505,7","7,2",,,"2322,9",,
,,,,,,,,,,,
,,,,,,,,,,,
"Mean length imm.",,,"9,63","12,66","13,58",,,,,,
"Mean weight imm",,,"3,36","8,48","10,67",,,,,,
"Mean length mat",,,,"15,32","16,84","17,51",,"16,2",,,
"Mean weight mat",,,,"17,14","24,69","28,59",,"21,4",,,
