,,,,,,,,,,,
"Length (cm)",,,1,2,3,4,"5+","Sum ","Biomass ","Mean ","Mean length"
,,,2003,2002,2001,2000,1999,"(109 )","(103 t)","weight (g)","(cm)"
5.00,"-",5.50,,,,,,0.00,,,5.25
5.50,"-",6.00,,,,,,0.00,,,5.75
6.00,"-",6.50,0.20,,,,,0.20,0.20,0.80,6.25
6.50,"-",7.00,0.49,,,,,0.49,0.50,1.00,6.75
7.00,"-",7.50,0.89,,,,,0.89,0.90,1.00,7.25
7.50,"-",8.00,1.87,,,,,1.87,3.30,1.70,7.75
8.00,"-",8.50,2.82,,,,,2.82,5.50,2.00,8.25
8.50,"-",9.00,5.84,,,,,5.84,13.60,2.30,8.75
9.00,"-",9.50,9.12,,,,,9.12,24.70,2.70,9.25
9.50,"-",10.00,6.75,0.05,,,,6.79,22.80,3.40,9.75
10.00,"-",10.50,7.31,0.25,,,,7.56,30.20,4.00,10.25
10.50,"-",11.00,5.36,0.20,,,,5.55,26.10,4.70,10.75
11.00,"-",11.50,4.78,0.60,,,,5.37,30.60,5.70,11.25
11.50,"-",12.00,3.46,1.14,,,,4.60,30.10,6.60,11.75
12.00,"-",12.50,1.50,2.13,,,,3.62,28.30,7.80,12.25
12.50,"-",13.00,0.52,3.34,,,,3.86,33.60,8.70,12.75
13.00,"-",13.50,0.22,4.07,,,,4.29,43.20,10.10,13.25
13.50,"-",14.00,0.04,3.48,0.03,,,3.55,40.90,11.50,13.75
14.00,"-",14.50,0.01,3.52,0.10,,,3.63,49.30,13.60,14.25
14.50,"-",15.00,0.02,2.53,0.41,,,2.96,45.10,15.20,14.75
15.00,"-",15.50,0.01,1.87,0.66,0.05,,2.59,46.40,17.90,15.25
15.50,"-",16.00,0.01,0.97,1.14,0.08,,2.20,43.90,20.00,15.75
16.00,"-",16.50,,0.57,1.35,0.13,0.02,2.06,45.70,22.10,16.25
16.50,"-",17.00,,0.08,1.21,0.19,0.00,1.47,36.40,24.70,16.75
17.00,"-",17.50,,0.01,0.49,0.18,0.04,0.71,18.60,26.10,17.25
17.50,"-",18.00,,,0.19,0.02,,0.21,6.20,29.30,17.75
18.00,"-",18.50,,,0.02,0.00,,0.03,0.90,32.80,18.25
18.50,"-",19.00,,,0.00,0.00,,0.00,0.10,29.70,18.75
19.00,"-",19.50,,,0.01,0.01,,0.01,0.50,43.40,19.25
19.50,"-",20.00,,,,,,0.00,0.10,40.40,19.75
20.00,"-",20.50,,,,,,0.00,0.20,52.30,20.25
20.50,"-",21.00,,,,,"0.002",0.00,,,20.75
"TSN (109)",,,"51,186","24,797","5,599","0,652","0,057","82,291",,,
"TSB (103 t)",,,"195,3","293,8","121,4","15,6","1,4",,"627,5",,
"Mean length (cm)",,,"9,88","13,62","16,13","16,62","16,95","11,49",,,
"Mean weight (g)",,,"3,8","11,8","21,7","23,9","24,9",,,"7,6",
"SSN (109 )",,,"0,04","9,553","5,570","0,652","0,057","15,871",,,
"SSB (103 t)",,,"0,62","154,1","121,1","15,6","1,4",,"292,7",,
,,,,,,,,,,,
,,,,,,,,,,,
"Mean length imm.",,,"9,88","12,83","13,75",,,,,,
"Mean weight imm",,,"3,81","9,17","11,50",,,,,,
"Mean length mat",,,,"14,87","16,14","16,62","16,95","15,4",,,
"Mean weight mat",,,,"16,13","21,73","23,87","24,91","18,4",,,
