,,,"Age/Year class",,,,,,,,
"Length (cm)",,,1.00,2.00,3.00,4.00,"5+","Sum ","Biomass ","Mean ","Mean length"
,,,1974.00,1973.00,1972.00,1971.00,1970.00,"(109 )","(103 t)","weight (g)",
5.00,"-",5.50,,,,,,,,,5.25
5.50,"-",6.00,,,,,,,,,5.75
6.00,"-",6.50,,,,,,,,,6.25
6.50,"-",7.00,0.06,0.00,0.00,0.00,0.00,0.06,0.00,0.70,6.75
7.00,"-",7.50,0.19,0.00,0.00,0.00,0.00,0.19,0.20,1.00,7.25
7.50,"-",8.00,1.52,0.00,0.00,0.00,0.00,1.52,1.80,1.20,7.75
8.00,"-",8.50,4.42,0.44,0.00,0.00,0.00,4.86,8.80,1.80,8.25
8.50,"-",9.00,17.62,0.21,0.00,0.00,0.00,17.83,37.90,2.10,8.75
9.00,"-",9.50,38.57,2.73,0.00,0.00,0.00,41.30,109.40,2.60,9.25
9.50,"-",10.00,42.67,7.99,0.00,0.00,0.00,50.66,163.50,3.20,9.75
10.00,"-",10.50,47.51,12.13,0.00,0.00,0.00,59.64,235.70,4.00,10.25
10.50,"-",11.00,24.26,33.20,0.32,0.00,0.00,57.78,255.60,4.40,10.75
11.00,"-",11.50,9.70,50.53,10.06,0.39,0.00,70.68,372.00,5.30,11.25
11.50,"-",12.00,3.09,79.06,29.27,0.86,0.00,112.28,671.80,6.00,11.75
12.00,"-",12.50,0.82,62.63,39.08,3.22,0.00,105.75,756.80,7.20,12.25
12.50,"-",13.00,0.00,43.06,52.02,4.89,0.00,99.97,852.40,8.50,12.75
13.00,"-",13.50,0.00,25.71,43.08,8.39,0.00,77.18,769.70,10.00,13.25
13.50,"-",14.00,0.00,16.36,34.70,7.20,0.00,58.26,657.70,11.30,13.75
14.00,"-",14.50,0.00,6.64,26.78,9.68,0.00,43.10,553.90,12.90,14.25
14.50,"-",15.00,0.00,2.35,19.45,8.63,0.00,30.43,453.40,14.90,14.75
15.00,"-",15.50,0.00,2.58,15.62,5.62,0.00,23.82,385.20,16.20,15.25
15.50,"-",16.00,0.00,1.43,8.93,10.80,0.00,21.16,395.40,18.70,15.75
16.00,"-",16.50,0.00,1.03,6.65,8.22,0.00,15.90,336.40,21.20,16.25
16.50,"-",17.00,0.00,0.00,4.94,6.10,0.00,11.04,267.60,24.20,16.75
17.00,"-",17.50,0.00,0.00,2.26,5.60,0.27,8.13,228.90,28.10,17.25
17.50,"-",18.00,0.00,0.00,1.41,4.54,0.00,5.95,179.20,30.10,17.75
18.00,"-",18.50,0.00,0.00,1.02,1.64,0.00,2.66,89.20,33.50,18.25
18.50,"-",19.00,0.00,0.00,0.08,0.58,0.00,0.66,23.80,36.10,18.75
19.00,"-",19.50,,,,,,,,,19.25
19.50,"-",20.00,,,,,,,,,19.75
20.00,"-",20.50,,,,,,,,,20.25
20.50,"-",21.00,,,,,,,,,20.75
"TSN (109)",,,190.43,348.08,295.67,86.36,0.27,920.81,,,
"TSB (103 t)",,,656.48,2440.63,3235.64,1475.48,7.59,,7815.80,,
"Mean length (cm)",,,9.87,12.00,13.44,15.07,17.25,12.31,,,
"Mean weight (g)",,,3.45,7.01,10.94,17.09,28.10,,,8.49,
"SSN (109 )",,,0.00,14.03,87.14,61.41,0.27,162.85,,,
"SSB (103 t)",,,0.00,211.04,1458.84,1238.24,7.59,,2915.71,,
,,,,,,,,,,,
,,,,,,,,,,,
"Mean length imm.",,,9.87,11.88,12.71,13.08,,,,,
"Mean weight imm",,,3.45,6.67,8.52,9.51,,,,,
"Mean length mat",,,,14.82,15.17,15.87,17.25,15.41,,,
"Mean weight mat",,,,15.04,16.74,20.16,28.10,17.90,,,
