,,,"Age/Year class",,,,,,,,
"Length (cm)",,,1,2,3,4,"5+","Sum ","Biomass ","Mean ","Mean length"
,,,1987,1986,1985,1984,1983,"(109 )","(103 t)","weight (g)",
5.00,"-",5.50,,,,,,,,,5.25
5.50,"-",6.00,,,,,,,,,5.75
6.00,"-",6.50,,,,,,,,,6.25
6.50,"-",7.00,0.04,0.00,0.00,0.00,0.00,0.04,0.04,1.00,6.75
7.00,"-",7.50,0.24,0.00,0.00,0.00,0.00,0.24,0.20,1.00,7.25
7.50,"-",8.00,0.74,0.00,0.00,0.00,0.00,0.74,0.80,1.10,7.75
8.00,"-",8.50,1.49,0.00,0.00,0.00,0.00,1.49,3.10,2.10,8.25
8.50,"-",9.00,3.16,0.00,0.00,0.00,0.00,3.16,7.90,2.50,8.75
9.00,"-",9.50,4.17,0.00,0.00,0.00,0.00,4.17,12.10,2.90,9.25
9.50,"-",10.00,3.99,0.11,0.00,0.00,0.00,4.09,14.10,3.40,9.75
10.00,"-",10.50,2.52,0.09,0.00,0.00,0.00,2.62,10.30,4.00,10.25
10.50,"-",11.00,2.40,0.35,0.00,0.00,0.00,2.75,12.70,4.60,10.75
11.00,"-",11.50,1.32,0.38,0.00,0.00,0.00,1.71,9.10,5.30,11.25
11.50,"-",12.00,0.69,1.33,0.00,0.00,0.00,2.02,13.10,6.50,11.75
12.00,"-",12.50,0.13,1.99,0.00,0.00,0.00,2.12,15.70,7.40,12.25
12.50,"-",13.00,0.05,4.26,0.00,0.00,0.00,4.32,37.10,8.60,12.75
13.00,"-",13.50,0.05,3.79,0.02,0.00,0.00,3.87,37.60,9.70,13.25
13.50,"-",14.00,0.00,4.58,0.05,0.00,0.00,4.64,53.10,11.50,13.75
14.00,"-",14.50,0.00,3.46,0.00,0.00,0.00,3.46,45.80,13.20,14.25
14.50,"-",15.00,0.00,2.96,0.02,0.00,0.00,2.97,45.50,15.30,14.75
15.00,"-",15.50,0.00,2.44,0.03,0.00,0.00,2.47,43.80,17.70,15.25
15.50,"-",16.00,0.00,1.46,0.09,0.00,0.00,1.55,30.30,19.60,15.75
16.00,"-",16.50,0.00,0.82,0.03,0.00,0.00,0.85,18.80,22.10,16.25
16.50,"-",17.00,0.00,0.32,,0.00,0.00,0.32,7.80,24.60,16.75
17.00,"-",17.50,0.00,0.26,,0.00,0.00,0.26,7.00,26.20,17.25
17.50,"-",18.00,0.00,0.04,0.00,0.00,0.00,0.04,1.10,30.40,17.75
18.00,"-",18.50,0.00,0.02,0.00,0.00,0.00,0.02,0.50,31.00,18.25
18.50,"-",19.00,,,,,,,,,18.75
19.00,"-",19.50,,,,,,,,,19.25
19.50,"-",20.00,,,,,,,,,19.75
20.00,"-",20.50,,,,,,,,,20.25
20.50,"-",21.00,,,,,,,,,20.75
"TSN (109)",,,"20,987","28,661","0,244",,,"49,892",,,
"TSB (103 t)",,,"72,3","351,0","4,1",,,,"427,3",,
"Mean length (cm)",,,"9,65","13,78","15,00",,,"12,05",,,
"Mean weight (g)",,,"3,4","12,2","16,6",,,,,"8,6",
"SSN (109 )",,,"0,00","11,765","0,169",,,"11,935",,,
"SSB (103 t)",,,"0,00","197,0","3,2",,,,"200,3",,
,,,,,,,,,,,
,,,,,,,,,,,
"Mean length imm.",,,"9,65","12,89","13,59",,,,,,
"Mean weight imm",,,"3,44","9,11","10,92",,,,,,
"Mean length mat",,,,"15,06","15,63",,,"15,1",,,
"Mean weight mat",,,,"16,75","19,18",,,"16,8",,,
