,,,"Age/Year class",,,,,,,,
"Length (cm)",,,1,2,3,4,"5+","Sum ","Biomass ","Mean ","Mean length"
,,,1996,1995,1994,1993,1992,"(109 )","(103 t)","weight (g)",
5.00,"-",5.50,,,,,,,,,5.25
5.50,"-",6.00,0.02,,,,,0.02,0.00,1.00,5.75
6.00,"-",6.50,0.11,,,,,0.11,0.10,1.00,6.25
6.50,"-",7.00,0.69,,,,,0.69,0.70,1.00,6.75
7.00,"-",7.50,3.93,,,,,3.93,4.30,1.10,7.25
7.50,"-",8.00,5.24,,,,,5.24,8.40,1.60,7.75
8.00,"-",8.50,6.41,0.43,,,,6.84,13.00,1.90,8.25
8.50,"-",9.00,6.72,0.34,,,,7.06,15.60,2.20,8.75
9.00,"-",9.50,7.62,0.49,,,,8.12,22.60,2.80,9.25
9.50,"-",10.00,10.77,2.00,,,,12.77,42.50,3.30,9.75
10.00,"-",10.50,12.57,1.20,,,,13.77,54.60,4.00,10.25
10.50,"-",11.00,14.53,1.23,,,,15.76,75.40,4.80,10.75
11.00,"-",11.50,12.10,1.78,,,,13.89,76.60,5.50,11.25
11.50,"-",12.00,10.46,1.83,,,,12.29,79.40,6.50,11.75
12.00,"-",12.50,4.70,3.22,0.02,,,7.95,59.30,7.50,12.25
12.50,"-",13.00,2.02,4.52,0.02,,,6.56,56.10,8.60,12.75
13.00,"-",13.50,0.69,4.30,0.10,,,5.09,49.60,9.70,13.25
13.50,"-",14.00,0.24,3.17,0.03,,,3.45,38.50,11.20,13.75
14.00,"-",14.50,0.04,2.66,0.11,,,2.80,36.80,13.20,14.25
14.50,"-",15.00,0.02,2.73,0.07,,,2.83,42.20,14.90,14.75
15.00,"-",15.50,,2.79,0.24,0.02,,3.05,50.70,16.60,15.25
15.50,"-",16.00,,1.93,0.05,,,1.97,36.90,18.70,15.75
16.00,"-",16.50,,1.74,0.05,,,1.79,39.20,22.00,16.25
16.50,"-",17.00,,1.32,0.26,0.06,,1.64,38.60,23.60,16.75
17.00,"-",17.50,,0.77,0.32,,,1.09,28.20,25.90,17.25
17.50,"-",18.00,,0.53,0.30,0.02,,0.85,24.80,29.10,17.75
18.00,"-",18.50,,0.10,0.24,,,0.34,11.00,32.20,18.25
18.50,"-",19.00,,0.02,0.07,,,0.09,3.10,35.40,18.75
19.00,"-",19.50,,,0.02,,,0.02,0.60,36.00,19.25
19.50,"-",20.00,,,,,,,,,19.75
20.00,"-",20.50,,,,,,,,,20.25
20.50,"-",21.00,,,,,,,,,20.75
"TSN (109)",,,"98,876","39,100","1,907","0,090","0,000","139,973",,,
"TSB (103 t)",,,"414,8","448,9","44,3","2,1","0,0",,"910,0",,
"Mean length (cm)",,,"10,14","13,34","16,50","16,68",,"11,12",,,
"Mean weight (g)",,,"4,2","11,5","23,2","23,5",,,,"6,5",
"SSN (109 )",,,"0,06","14,577","1,728","0,090",,"16,454",,,
"SSB (103 t)",,,"0,82","266,6","42,6","2,1",,,"312,1",,
,,,,,,,,,,,
,,,,,,,,,,,
"Mean length imm.",,,"10,14","12,05","13,14",,,,,,
"Mean weight imm",,,"4,19","7,43","9,53",,,,,,
"Mean length mat",,,,"15,52","16,84","16,68",,"15,7",,,
"Mean weight mat",,,,"18,29","24,63","23,46",,"19,0",,,
