,,,,,,,,,,,
"Length (cm)",,,1,2,3,4,"5+","Sum ","Biomass ","Mean ","Mean length"
,,,1998,1997,1996,1995,1994,"(109 )","(103 t)","weight (g)",
5.00,"-",5.50,,,,,,,,,5.25
5.50,"-",6.00,,,,,,,,,5.75
6.00,"-",6.50,,,,,,,,,6.25
6.50,"-",7.00,4.31,,,,,4.31,4.30,1.00,6.75
7.00,"-",7.50,4.86,,,,,4.86,7.20,1.50,7.25
7.50,"-",8.00,6.50,,,,,6.50,11.50,1.80,7.75
8.00,"-",8.50,7.95,,,,,7.95,14.70,1.90,8.25
8.50,"-",9.00,11.08,,,,,11.08,23.70,2.10,8.75
9.00,"-",9.50,13.12,,,,,13.12,34.60,2.60,9.25
9.50,"-",10.00,16.03,,,,,16.03,50.00,3.10,9.75
10.00,"-",10.50,21.02,0.20,,,,21.22,79.80,3.80,10.25
10.50,"-",11.00,24.78,0.09,,,,24.87,110.10,4.40,10.75
11.00,"-",11.50,16.49,1.86,,,,18.35,97.20,5.30,11.25
11.50,"-",12.00,13.91,4.69,,,,18.60,114.30,6.10,11.75
12.00,"-",12.50,8.73,6.93,0.05,,,15.72,114.40,7.30,12.25
12.50,"-",13.00,3.22,10.07,0.03,,,13.31,112.50,8.50,12.75
13.00,"-",13.50,1.27,10.71,0.10,,,12.08,122.50,10.10,13.25
13.50,"-",14.00,0.93,12.53,0.23,,,13.69,160.30,11.70,13.75
14.00,"-",14.50,0.76,12.46,0.33,,,13.55,178.90,13.20,14.25
14.50,"-",15.00,0.46,12.58,0.58,,,13.62,204.70,15.00,14.75
15.00,"-",15.50,0.39,11.84,1.77,,,13.99,241.70,17.30,15.25
15.50,"-",16.00,0.11,7.72,2.21,0.03,,10.07,195.50,19.40,15.75
16.00,"-",16.50,,4.53,3.38,0.06,,7.97,174.80,22.00,16.25
16.50,"-",17.00,,2.81,3.93,0.14,,6.88,169.90,24.70,16.75
17.00,"-",17.50,,1.30,4.58,0.13,,6.01,164.30,27.30,17.25
17.50,"-",18.00,,0.47,3.53,0.23,,4.22,131.80,31.20,17.75
18.00,"-",18.50,,0.43,2.92,0.20,,3.55,123.50,34.80,18.25
18.50,"-",19.00,,0.20,1.90,0.03,,2.13,81.60,38.30,18.75
19.00,"-",19.50,,0.08,0.65,0.04,,0.77,33.90,43.80,19.25
19.50,"-",20.00,,,0.32,,,0.32,14.80,46.90,19.75
20.00,"-",20.50,,,0.05,,,0.05,2.40,52.30,20.25
20.50,"-",21.00,,,,0.00,,0.00,0.20,55.00,20.75
"TSN (109)",,,"155,921","101,480","26,544","0,867","0,000","284,812",,,
"TSB (103 t)",,,"647,2","1383,2","717,5","26,3","0,0",,"2774,1",,
"Mean length (cm)",,,"10,19","14,15","17,01","17,57",,"12,26",,,
"Mean weight (g)",,,"4,2","13,6","27,0","30,3",,,,"9,7",
"SSN (109 )",,,"1,72","54,394","26,138","0,867",,"83,119",,,
"SSB (103 t)",,,"25,79","952,5","713,2","26,3",,,"1717,8",,
,,,,,,,,,,,
,,,,,,,,,,,
"Mean length imm.",,,"10,14","12,88","13,38",,,,,,
"Mean weight imm",,,"4,03","9,15","10,57",,,,,,
"Mean length mat",,,,"15,25","17,06","17,57",,"15,8",,,
"Mean weight mat",,,,"17,51","27,28","30,29",,"20,7",,,
