,,,"Age/Year class",,,,,,,,
"Length (cm)",,,1.00,2.00,3.00,4.00,"5+","Sum ","Biomass ","Mean ","Mean length"
,,,1977.00,1976.00,1975.00,1974.00,1973.00,"(109 )","(103 t)","weight (g)",
5.00,"-",5.50,,,,,,,,,5.25
5.50,"-",6.00,,,,,,,,,5.75
6.00,"-",6.50,,,,,,,,,6.25
6.50,"-",7.00,0.29,0.03,0.00,0.00,0.00,0.32,0.30,0.80,6.75
7.00,"-",7.50,4.39,0.08,0.00,0.00,0.00,4.47,4.90,1.10,7.25
7.50,"-",8.00,3.10,0.10,0.00,0.00,0.00,3.20,5.30,1.70,7.75
8.00,"-",8.50,7.06,0.49,0.00,0.00,0.00,7.55,17.10,2.30,8.25
8.50,"-",9.00,9.26,1.07,0.00,0.00,0.00,10.33,25.50,2.50,8.75
9.00,"-",9.50,23.89,3.42,0.00,0.00,0.00,27.31,72.20,2.60,9.25
9.50,"-",10.00,22.95,7.91,0.00,0.00,0.00,30.86,97.80,3.20,9.75
10.00,"-",10.50,7.92,28.61,0.00,0.00,0.00,36.53,144.80,4.00,10.25
10.50,"-",11.00,3.10,48.75,0.00,0.00,0.00,51.85,238.20,4.60,10.75
11.00,"-",11.50,1.57,69.46,0.43,0.00,0.00,71.46,381.30,5.30,11.25
11.50,"-",12.00,0.00,71.67,0.61,0.00,0.00,72.28,438.20,6.10,11.75
12.00,"-",12.50,0.00,68.23,0.84,0.00,0.00,69.07,499.00,7.20,12.25
12.50,"-",13.00,0.00,40.53,2.16,0.00,0.00,42.69,358.80,8.40,12.75
13.00,"-",13.50,0.00,23.30,7.53,0.00,0.00,30.83,305.60,9.90,13.25
13.50,"-",14.00,0.00,13.31,9.80,0.00,0.00,23.11,256.10,11.10,13.75
14.00,"-",14.50,0.00,5.88,10.08,0.38,0.00,16.34,213.80,13.10,14.25
14.50,"-",15.00,0.00,4.30,12.11,0.98,0.12,17.51,255.30,14.60,14.75
15.00,"-",15.50,0.00,2.00,10.61,0.90,0.00,13.51,229.00,16.90,15.25
15.50,"-",16.00,0.00,1.46,7.99,2.15,0.00,11.60,225.30,19.40,15.75
16.00,"-",16.50,0.00,0.61,6.10,1.57,0.21,8.49,180.00,21.20,16.25
16.50,"-",17.00,0.00,0.43,3.87,1.79,0.10,6.19,146.00,23.60,16.75
17.00,"-",17.50,0.00,0.00,1.80,0.84,0.05,2.69,72.10,26.80,17.25
17.50,"-",18.00,0.00,0.05,0.88,0.15,0.05,1.13,34.30,30.30,17.75
18.00,"-",18.50,0.00,0.00,0.67,0.10,0.00,0.77,25.80,33.60,18.25
18.50,"-",19.00,0.00,0.00,0.29,0.00,0.13,0.42,17.80,42.40,18.75
19.00,"-",19.50,0.00,0.00,0.08,0.00,0.00,0.08,2.90,36.00,19.25
19.50,"-",20.00,,,,,,,,,19.75
20.00,"-",20.50,,,,,,,,,20.25
20.50,"-",21.00,,,,,,,,,20.75
"TSN (109)",,,"83,530","391,690","75,850","8,860","0,660","560,590",,,
"TSB (103 t)",,,"239,5","2618,9","1189,9","182,2","16,9",,"4247,5",,
"Mean length (cm)",,,"9,27","11,81","14,82","16,02","16,73","11,91",,,
"Mean weight (g)",,,"2,9","6,7","15,7","20,6","25,7",,,"7,6",
"SSN (109 )",,,"0,00","14,730","54,480","8,860","0,660","78,730",,,
"SSB (103 t)",,,"0,00","226,5","976,4","182,2","16,9",,"1402,0",,
,,,,,,,,,,,
,,,,,,,,,,,
"Mean length imm.",,,"9,27","11,70","13,31",,,,,,
"Mean weight imm",,,"2,87","6,35","9,99",,,,,,
"Mean length mat",,,,"14,85","15,41","16,02","16,73","15,4",,,
"Mean weight mat",,,,"15,38","17,92","20,56","25,65","17,8",,,
