,,,"Age/Year class",,,,,,,,
"Length (cm)",,,1,2,3,4,"5+","Sum ","Biomass ","Mean ","Mean length"
,,,1979,1978,1977,1976,1975,"(109 )","(103 t)","weight (g)",
5.00,"-",5.50,,,,,,,,,5.25
5.50,"-",6.00,,,,,,,,,5.75
6.00,"-",6.50,,,,,,,,,6.25
6.50,"-",7.00,0.65,0.00,0.00,0.00,0.00,0.65,0.60,1.00,6.75
7.00,"-",7.50,2.47,0.00,0.00,0.00,0.00,2.47,2.50,1.00,7.25
7.50,"-",8.00,2.59,0.00,0.00,0.00,0.00,2.59,2.60,1.00,7.75
8.00,"-",8.50,5.66,0.00,0.00,0.00,0.00,5.66,9.60,1.70,8.25
8.50,"-",9.00,14.83,0.00,0.00,0.00,0.00,14.83,29.70,2.00,8.75
9.00,"-",9.50,25.59,0.00,0.00,0.00,0.00,25.59,60.30,2.40,9.25
9.50,"-",10.00,26.91,0.25,0.00,0.00,0.00,27.16,83.20,3.10,9.75
10.00,"-",10.50,29.41,0.75,0.00,0.00,0.00,30.16,119.30,4.00,10.25
10.50,"-",11.00,51.66,3.83,0.00,0.00,0.00,55.49,259.10,4.70,10.75
11.00,"-",11.50,57.90,11.36,0.13,0.00,0.00,69.39,366.90,5.30,11.25
11.50,"-",12.00,31.20,24.51,0.03,0.00,0.00,55.74,345.40,6.20,11.75
12.00,"-",12.50,12.05,33.71,0.51,0.00,0.00,46.27,341.80,7.40,12.25
12.50,"-",13.00,5.86,31.58,1.69,0.04,0.00,39.17,340.10,8.70,12.75
13.00,"-",13.50,2.53,30.98,4.61,0.14,0.00,38.26,388.90,10.20,13.25
13.50,"-",14.00,0.60,27.18,11.34,0.12,0.00,39.24,452.00,11.50,13.75
14.00,"-",14.50,0.00,18.24,23.14,1.06,0.00,42.44,559.10,13.20,14.25
14.50,"-",15.00,0.00,7.53,28.06,1.96,0.00,37.55,553.40,14.70,14.75
15.00,"-",15.50,0.00,4.23,27.85,3.81,0.00,35.89,606.30,16.90,15.25
15.50,"-",16.00,0.00,1.00,18.07,4.68,0.02,23.77,451.60,19.00,15.75
16.00,"-",16.50,0.00,0.48,14.74,4.75,0.28,20.25,444.60,22.00,16.25
16.50,"-",17.00,0.00,0.07,9.01,4.17,0.00,13.25,335.20,25.30,16.75
17.00,"-",17.50,0.00,0.07,5.26,3.92,0.00,9.25,264.40,28.60,17.25
17.50,"-",18.00,0.00,0.00,4.62,3.52,0.00,8.14,261.70,32.10,17.75
18.00,"-",18.50,0.00,0.00,2.92,2.33,0.00,5.25,191.60,36.50,18.25
18.50,"-",19.00,0.00,0.00,1.81,1.10,0.00,2.91,117.10,40.20,18.75
19.00,"-",19.50,0.00,0.00,1.31,0.85,0.00,2.16,91.30,42.30,19.25
19.50,"-",20.00,0.00,0.00,0.18,0.56,0.00,0.74,36.50,49.30,19.75
20.00,"-",20.50,,,,,,,,,20.25
20.50,"-",21.00,,,,,,,,,20.75
"TSN (109)",,,"269,910","195,770","155,280","33,010","0,300","654,270",,,
"TSB (103 t)",,,"1223,4","1843,0","2823,3","827,2","6,5",,"6723,5",,
"Mean length (cm)",,,"10,58","12,91","15,32","16,59","16,22","12,71",,,
"Mean weight (g)",,,"4,5","9,4","18,2","25,1","21,8",,,"10,3",
"SSN (109 )",,,"0,00","31,620","136,970","32,710","0,300","201,600",,,
"SSB (103 t)",,,"0,00","456,3","2626,5","824,0","6,5",,"3913,4",,
,,,,,,,,,,,
,,,,,,,,,,,
"Mean length imm.",,,"10,58","12,59","13,47","13,38",,,,,
"Mean weight imm",,,"4,53","8,45","10,75","10,52",,,,,
"Mean length mat",,,,"14,59","15,57","16,62","16,22","15,6",,,
"Mean weight mat",,,,"14,43","19,18","25,19","21,80","19,4",,,
