,,,"Age/Year class",,,,,,,,
"Length (cm)",,,1.00,2.00,3.00,4.00,"5+","Sum ","Biomass ","Mean ","Mean length"
,,,1976.00,1975.00,1974.00,1973.00,1972.00,"(109 )","(103 t)","weight (g)",
5.00,"-",5.50,4.51,0.00,0.00,0.00,0.00,4.51,1.40,0.30,5.25
5.50,"-",6.00,8.66,0.00,0.00,0.00,0.00,8.66,3.50,0.40,5.75
6.00,"-",6.50,18.05,0.00,0.00,0.00,0.00,18.05,9.00,0.50,6.25
6.50,"-",7.00,24.78,0.00,0.00,0.00,0.00,24.78,14.90,0.60,6.75
7.00,"-",7.50,38.35,0.00,0.00,0.00,0.00,38.35,26.80,0.70,7.25
7.50,"-",8.00,38.60,0.00,0.00,0.00,0.00,38.60,46.30,1.20,7.75
8.00,"-",8.50,54.55,0.02,0.00,0.00,0.00,54.57,101.70,1.90,8.25
8.50,"-",9.00,52.21,0.53,0.00,0.00,0.00,52.74,117.50,2.20,8.75
9.00,"-",9.50,41.39,1.48,0.00,0.00,0.00,42.87,120.50,2.80,9.25
9.50,"-",10.00,38.75,2.37,0.00,0.00,0.00,41.12,130.20,3.20,9.75
10.00,"-",10.50,25.92,4.07,0.02,0.00,0.00,30.01,113.30,3.80,10.25
10.50,"-",11.00,10.10,7.47,0.02,0.00,0.00,17.59,75.70,4.30,10.75
11.00,"-",11.50,3.11,18.75,0.13,0.00,0.00,21.99,110.90,5.00,11.25
11.50,"-",12.00,0.77,28.62,0.40,0.17,0.00,29.96,177.10,5.90,11.75
12.00,"-",12.50,0.05,31.50,1.94,0.16,0.00,33.65,238.50,7.10,12.25
12.50,"-",13.00,0.00,24.22,4.04,0.39,0.00,28.65,233.90,8.20,12.75
13.00,"-",13.50,0.00,22.84,7.70,1.24,0.00,31.78,310.40,9.80,13.25
13.50,"-",14.00,0.00,12.62,11.18,2.02,0.00,25.82,290.90,11.30,13.75
14.00,"-",14.50,0.00,8.46,11.64,2.86,0.34,23.30,304.40,13.10,14.25
14.50,"-",15.00,0.00,5.38,13.63,4.38,0.26,23.65,351.90,14.90,14.75
15.00,"-",15.50,0.00,3.07,10.95,4.57,0.85,19.44,331.70,17.10,15.25
15.50,"-",16.00,0.00,2.25,13.20,5.44,1.29,22.18,423.00,19.10,15.75
16.00,"-",16.50,0.00,0.93,8.44,4.71,1.00,15.08,331.90,22.00,16.25
16.50,"-",17.00,0.00,0.14,8.20,3.64,0.84,12.82,313.80,24.50,16.75
17.00,"-",17.50,0.00,0.12,3.51,4.77,1.11,9.51,263.80,27.70,17.25
17.50,"-",18.00,0.00,0.00,2.44,3.37,1.40,7.21,219.70,30.50,17.75
18.00,"-",18.50,0.00,0.00,0.97,1.67,0.14,2.78,92.30,33.20,18.25
18.50,"-",19.00,0.00,0.00,0.14,0.66,0.05,0.85,29.80,35.00,18.75
19.00,"-",19.50,0.00,0.00,0.00,0.20,0.00,0.20,8.40,42.00,19.25
19.50,"-",20.00,0.00,0.00,0.00,0.06,0.00,0.06,2.90,48.00,19.75
20.00,"-",20.50,,,,,,,,,20.25
20.50,"-",21.00,,,,,,,,,20.75
"TSN (109)",,,"359,800","174,840","98,550","40,310","7,280","680,780",,,
"TSB (103 t)",,,"722,6","1425,5","1642,1","842,6","169,9",,"4802,8",,
"Mean length (cm)",,,"8,39","12,49","15,00","15,91","16,45","10,93",,,
"Mean weight (g)",,,"2,0","8,2","16,7","20,9","23,3",,,"7,1",
"SSN (109 )",,,"0,00","20,350","73,120","36,330","7,280","137,080",,,
"SSB (103 t)",,,"0,00","313,7","1390,3","802,3","169,9",,"2676,2",,
,,,,,,,,,,,
,,,,,,,,,,,
"Mean length imm.",,,"8,39","12,18","13,28","13,35",,,,,
"Mean weight imm",,,"2,01","7,20","9,90","10,13",,,,,
"Mean length mat",,,,"14,83","15,60","16,19","16,45","15,7",,,
"Mean weight mat",,,,"15,41","19,01","22,08","23,34","19,5",,,
