,,,,,,,,,,,
"Length (cm)",,,1,2,3,4,"5+","Sum ","Biomass ","Mean ","Mean length"
,,,2006,2005,2004,2003,"2002-","(109 )","(103 t)","weight (g)","(cm)"
5.00,"-",5.50,,,,,,,,,5.25
5.50,"-",6.00,,,,,,,,,5.75
6.00,"-",6.50,,,,,,,,,6.25
6.50,"-",7.00,0.16,,,,,0.23,0.20,1.00,6.75
7.00,"-",7.50,0.46,,,,,0.46,0.60,1.30,7.25
7.50,"-",8.00,2.78,,,,,2.78,4.90,1.70,7.75
8.00,"-",8.50,7.06,,,,,7.06,14.60,2.10,8.25
8.50,"-",9.00,12.13,,,,,12.13,30.90,2.60,8.75
9.00,"-",9.50,26.69,,,,,26.69,79.00,3.00,9.25
9.50,"-",10.00,37.73,,,,,37.73,125.00,3.30,9.75
10.00,"-",10.50,48.73,0.51,,,,49.24,191.50,3.90,10.25
10.50,"-",11.00,33.23,0.67,,,,33.90,149.30,4.40,10.75
11.00,"-",11.50,21.69,1.16,,,,22.85,114.00,5.00,11.25
11.50,"-",12.00,16.01,2.20,,,,18.21,105.80,5.80,11.75
12.00,"-",12.50,6.02,1.68,0.03,,,7.73,54.00,7.00,12.25
12.50,"-",13.00,3.28,3.38,,,,6.66,54.50,8.20,12.75
13.00,"-",13.50,2.50,3.48,,,,5.98,57.10,9.60,13.25
13.50,"-",14.00,1.13,3.72,,,,4.85,54.50,11.20,13.75
14.00,"-",14.50,1.48,3.78,0.11,,,5.37,70.30,13.10,14.25
14.50,"-",15.00,0.48,5.17,0.03,,,5.68,83.90,14.80,14.75
15.00,"-",15.50,0.11,7.63,0.05,,,7.79,128.40,16.50,15.25
15.50,"-",16.00,0.01,7.50,0.14,,,7.65,141.30,18.50,15.75
16.00,"-",16.50,,7.16,0.71,,,7.87,161.00,20.50,16.25
16.50,"-",17.00,,3.97,0.44,,,4.41,100.50,22.80,16.75
17.00,"-",17.50,,1.25,0.71,0.11,,2.07,56.80,27.50,17.25
17.50,"-",18.00,,1.01,0.27,0.02,,1.29,38.50,29.80,17.75
18.00,"-",18.50,,0.29,0.64,0.01,,0.94,32.30,34.40,18.25
18.50,"-",19.00,,0.08,0.39,,,0.48,18.00,37.90,18.75
19.00,"-",19.50,,0.12,0.17,0.00,,0.29,10.60,36.90,19.25
19.50,"-",20.00,,0.01,0.02,,,0.03,1.20,37.30,19.75
20.00,"-",20.50,,,,,,,,,20.25
20.50,"-",21.00,,,,,,,,,20.75
"TSN (109)",,,"221,670","54,754","3,701","0,135",,"280,260",,,
"TSB (103 t)",,,"928,1","848,2","101,3","3,8",,,"1881,5",,
"Mean length (cm)",,,"10,32","14,76","17,24","17,39",,"11,28",,,
"Mean weight (g)",,,"4,2","15,5","27,4","28,3",,,,"6,7",
"SSN (109 )",,,"2,08","37,970","3,674","0,135",,"43,855",,,
"SSB (103 t)",,,"28,44","710,3","101,1","3,8",,,"843,7",,
,,,,,,,,,,,
,,,,,,,,,,,
"Mean length imm.",,,"10,28","12,64","12,25","#DIV/0!",,,,,
"Mean weight imm",,,"4,10","8,22","7,00","#DIV/0!",,,,,
"Mean length mat",,,,"15,70","17,28","17,39",,"15,8",,,
"Mean weight mat",,,,"18,71","27,53","28,32",,"19,2",,,
