,,,"Age/Year class",,,,,,,,
"Length (cm)",,,1,2,3,4,"5+","Sum ","Biomass ","Mean ","Mean length"
,,,1980,1979,1978,1977,1976,"(109 )","(103 t)","weight (g)",
5.00,"-",5.50,,,,,,,,,5.25
5.50,"-",6.00,,,,,,,,,5.75
6.00,"-",6.50,8.63,0.00,0.00,0.00,0.00,8.63,8.30,1.00,6.25
6.50,"-",7.00,19.22,0.00,0.00,0.00,0.00,19.22,19.20,1.00,6.75
7.00,"-",7.50,33.35,0.00,0.00,0.00,0.00,33.35,33.30,1.00,7.25
7.50,"-",8.00,60.13,0.00,0.00,0.00,0.00,60.13,78.30,1.30,7.75
8.00,"-",8.50,65.58,0.00,0.00,0.00,0.00,65.58,118.30,1.80,8.25
8.50,"-",9.00,58.43,0.08,0.00,0.00,0.00,58.51,123.10,2.10,8.75
9.00,"-",9.50,52.59,0.34,0.00,0.00,0.00,52.93,136.90,2.60,9.25
9.50,"-",10.00,41.83,1.32,0.00,0.00,0.00,43.15,130.50,3.00,9.75
10.00,"-",10.50,26.57,2.58,0.00,0.00,0.00,29.15,108.80,3.70,10.25
10.50,"-",11.00,21.72,4.73,0.00,0.00,0.00,26.45,114.20,4.30,10.75
11.00,"-",11.50,7.88,8.98,0.00,0.00,0.00,16.86,88.70,5.30,11.25
11.50,"-",12.00,2.99,17.46,0.05,0.00,0.00,20.50,127.60,6.20,11.75
12.00,"-",12.50,1.62,30.74,0.19,0.00,0.00,32.55,234.10,7.20,12.25
12.50,"-",13.00,1.25,41.99,0.59,0.00,0.00,43.83,363.80,8.30,12.75
13.00,"-",13.50,0.50,32.80,2.29,0.04,0.00,35.63,342.70,9.60,13.25
13.50,"-",14.00,0.20,23.51,4.66,0.01,0.00,28.38,315.60,11.10,13.75
14.00,"-",14.50,0.07,15.32,6.42,0.02,0.00,21.83,276.60,12.70,14.25
14.50,"-",15.00,0.00,6.77,7.02,0.20,0.00,13.99,201.70,14.40,14.75
15.00,"-",15.50,0.00,3.55,7.05,1.40,0.04,12.04,197.40,16.40,15.25
15.50,"-",16.00,0.00,1.64,6.98,2.00,0.00,10.62,190.20,17.90,15.75
16.00,"-",16.50,0.00,0.94,4.70,1.97,0.02,7.63,155.80,20.40,16.25
16.50,"-",17.00,0.00,0.79,3.46,2.59,0.00,6.84,156.10,22.80,16.75
17.00,"-",17.50,0.00,0.67,1.57,1.73,0.04,4.01,107.00,26.70,17.25
17.50,"-",18.00,0.00,0.52,1.62,1.82,0.06,4.02,120.00,29.80,17.75
18.00,"-",18.50,0.00,0.38,0.66,1.29,0.00,2.33,77.70,33.30,18.25
18.50,"-",19.00,0.00,0.17,0.51,0.49,0.10,1.27,46.30,36.40,18.75
19.00,"-",19.50,0.00,0.00,0.15,0.02,0.00,0.17,7.80,46.00,19.25
19.50,"-",20.00,0.00,0.00,0.05,0.19,0.00,0.24,11.50,48.00,19.75
20.00,"-",20.50,0.00,0.00,0.01,0.03,0.00,0.04,2.30,58.50,20.25
20.50,"-",21.00,0.00,0.00,0.02,0.00,0.00,0.02,1.30,63.00,20.75
"TSN (109)",,,"402,560","195,280","48,000","13,800","0,260","659,900",,,
"TSB (103 t)",,,"924,3","1805,5","820,1","334,6","7,6",,"3892,1",,
"Mean length (cm)",,,"8,73","12,94","15,28","16,79","17,56","10,62",,,
"Mean weight (g)",,,"2,3","9,2","17,1","24,2","29,1",,,"5,9",
"SSN (109 )",,,"0,07","30,750","40,220","13,750","0,260","85,050",,,
"SSB (103 t)",,,"0,89","469,0","739,8","334,1","7,6",,"1551,5",,
,,,,,,,,,,,
,,,,,,,,,,,
"Mean length imm.",,,"8,73","12,58","13,48","13,35",,,,,
"Mean weight imm",,,"2,29","8,12","10,32","9,90",,,,,
"Mean length mat",,,,"14,88","15,63","16,81","17,56","15,6",,,
"Mean weight mat",,,,"15,25","18,39","24,30","29,08","18,2",,,
